deleted,balanced_accuracy,accuracy,macro_f1,weighted_f1,minority_recall,minority_precision,majority_recall,pr_auc,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,noise_protocol,mn_to_maj,maj_to_min,budget,target_ratio,method
0,0.5437014925373134,0.671875,0.4979871342602199,0.5872393131355053,0.1194029850746268,0.6666666666666666,0.968,0.6731603451918151,,,0.0,0.0,,pima,lr,13,symmetric,0.2,0.2,0.1,0.15,no_cleaning
44,0.7195820895522388,0.765625,0.7284982559783804,0.7588271454608302,0.5671641791044776,0.7037037037037037,0.872,0.6834993999272102,0.4090909090909091,0.0454545454545454,,,,pima,lr,13,symmetric,0.2,0.2,0.1,0.15,class_proportional
0,0.6292537313432836,0.7291666666666666,0.6283502084574151,0.6868237542187811,0.2985074626865671,0.8,0.96,0.6836895215133839,,,0.0,44.0,,pima,lr,13,symmetric,0.2,0.2,0.1,0.15,smote
0,0.7184477611940299,0.6875,0.6833424958768555,0.6943031885651457,0.8208955223880597,0.5339805825242718,0.616,0.6606261127763995,,,0.0,44.0,,pima,lr,13,symmetric,0.2,0.2,0.1,0.15,cwms_msbs
0,0.5730149253731343,0.6875,0.5504916497580771,0.6254584829093178,0.1940298507462686,0.6842105263157895,0.952,0.6061438686890941,,,0.0,0.0,,pima,lr,17,symmetric,0.2,0.2,0.1,0.15,no_cleaning
44,0.719044776119403,0.7604166666666666,0.7260545905707196,0.7553634201819687,0.582089552238806,0.6842105263157895,0.856,0.619485240709772,0.4090909090909091,0.0454545454545454,,,,pima,lr,17,symmetric,0.2,0.2,0.1,0.15,class_proportional
0,0.6391044776119403,0.7239583333333334,0.6439841864045062,0.6949567196118904,0.3582089552238806,0.7058823529411765,0.92,0.6205655445910822,,,0.0,44.0,,pima,lr,17,symmetric,0.2,0.2,0.1,0.15,smote
0,0.6642985074626866,0.5989583333333334,0.5988603988603989,0.5969669990503323,0.8805970149253731,0.4609375,0.448,0.580031097878536,,,0.0,44.0,,pima,lr,17,symmetric,0.2,0.2,0.1,0.15,cwms_msbs
0,0.5407761194029851,0.6770833333333334,0.4810810810810811,0.5774211711711712,0.0895522388059701,0.8571428571428571,0.992,0.7018379659410294,,,0.0,0.0,,pima,lr,23,symmetric,0.2,0.2,0.1,0.15,no_cleaning
44,0.711044776119403,0.75,0.7165005537098561,0.7459394610557402,0.582089552238806,0.6610169491525424,0.84,0.7002668910183644,0.2727272727272727,0.0909090909090909,,,,pima,lr,23,symmetric,0.2,0.2,0.1,0.15,class_proportional
0,0.5924776119402985,0.7083333333333334,0.5733333333333334,0.6458333333333334,0.208955223880597,0.8235294117647058,0.976,0.6830210841704896,,,0.0,44.0,,pima,lr,23,symmetric,0.2,0.2,0.1,0.15,smote
0,0.6952238805970149,0.6302083333333334,0.6301983018202534,0.6296164740616156,0.9104477611940298,0.4841269841269841,0.48,0.7086462579332595,,,0.0,44.0,,pima,lr,23,symmetric,0.2,0.2,0.1,0.15,cwms_msbs
0,0.6039402985074627,0.71875,0.5885714285714285,0.6584821428571429,0.2238805970149253,0.8823529411764706,0.984,0.7426742876441796,,,0.0,0.0,,pima,lr,29,symmetric,0.2,0.2,0.1,0.15,no_cleaning
44,0.7419701492537314,0.78125,0.7498759305210918,0.7766361662531017,0.6119402985074627,0.7192982456140351,0.872,0.7715452454074698,0.3863636363636363,0.0,,,,pima,lr,29,symmetric,0.2,0.2,0.1,0.15,class_proportional
0,0.6660298507462686,0.75,0.6754929577464789,0.7224647887323944,0.3880597014925373,0.7878787878787878,0.944,0.7385962386099263,,,0.0,44.0,,pima,lr,29,symmetric,0.2,0.2,0.1,0.15,smote
0,0.7424477611940299,0.71875,0.7126385809312639,0.7252979490022172,0.8208955223880597,0.5670103092783505,0.664,0.7685144044871409,,,0.0,44.0,,pima,lr,29,symmetric,0.2,0.2,0.1,0.15,cwms_msbs
0,0.5879402985074627,0.6979166666666666,0.5724815724815725,0.6424357596232596,0.2238805970149253,0.7142857142857143,0.952,0.6373231422182828,,,0.0,0.0,,pima,lr,31,symmetric,0.2,0.2,0.1,0.15,no_cleaning
44,0.691044776119403,0.7239583333333334,0.6929668406601696,0.7224341615625219,0.582089552238806,0.609375,0.8,0.6344075884174836,0.4318181818181818,0.0454545454545454,,,,pima,lr,31,symmetric,0.2,0.2,0.1,0.15,class_proportional
0,0.6564179104477612,0.7239583333333334,0.6641916641916642,0.7069875507375508,0.4328358208955223,0.6590909090909091,0.88,0.6486708165512084,,,0.0,44.0,,pima,lr,31,symmetric,0.2,0.2,0.1,0.15,smote
0,0.6160597014925373,0.5677083333333334,0.567414967833003,0.5708180076368342,0.7761194029850746,0.4333333333333333,0.456,0.6030817384886231,,,0.0,44.0,,pima,lr,31,symmetric,0.2,0.2,0.1,0.15,cwms_msbs
0,0.5511641791044776,0.6770833333333334,0.5105263157894737,0.5967790570175439,0.1343283582089552,0.6923076923076923,0.968,0.634873029656011,,,0.0,0.0,,pima,lr,37,symmetric,0.2,0.2,0.1,0.15,no_cleaning
