deleted,balanced_accuracy,accuracy,macro_f1,weighted_f1,minority_recall,minority_precision,majority_recall,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,noise_protocol,mn_to_maj,maj_to_min,budget,target_ratio,method
0,0.5213134328358209,0.65625,0.45864661654135336,0.5574483082706766,0.07462686567164178,0.5555555555555556,0.968,,,0.0,0.0,,pima,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
44,0.6518805970149254,0.7135416666666666,0.6586390819460158,0.6999942756317008,0.44776119402985076,0.625,0.856,0.3181818181818182,0.09090909090909091,,,,pima,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.7616716417910447,0.7708333333333334,0.7541613316261204,0.7735008536064875,0.7313432835820896,0.6533333333333333,0.792,,,0.0,44.0,,pima,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.6753432835820896,0.7395833333333334,0.6848739495798319,0.7245382528011204,0.4626865671641791,0.6888888888888889,0.888,,,0.0,44.0,,pima,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_knn
0,0.6708059701492537,0.7291666666666666,0.6788471435923829,0.7172488848859153,0.47761194029850745,0.6530612244897959,0.864,,,0.0,44.0,,pima,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_crossfamily
0,0.5183880597014925,0.6614583333333334,0.43841965531206406,0.545330757173499,0.04477611940298507,0.75,0.992,,,0.0,0.0,,pima,lr,17,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
44,0.6793432835820896,0.7447916666666666,0.6895356895356894,0.7291016978516978,0.4626865671641791,0.7045454545454546,0.896,0.3181818181818182,0.0,,,,pima,lr,17,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.741134328358209,0.7395833333333334,0.7264957264957265,0.7445690883190883,0.746268656716418,0.6024096385542169,0.736,,,0.0,44.0,,pima,lr,17,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.6694925373134328,0.75,0.6795994993742178,0.7249687108886107,0.40298507462686567,0.7714285714285715,0.936,,,0.0,44.0,,pima,lr,17,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_knn
0,0.6694925373134328,0.75,0.6795994993742178,0.7249687108886107,0.40298507462686567,0.7714285714285715,0.936,,,0.0,44.0,,pima,lr,17,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_crossfamily
0,0.5522388059701493,0.6875,0.4978204010462075,0.5910527462946817,0.1044776119402985,1.0,1.0,,,0.0,0.0,,pima,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
44,0.6737313432835821,0.7239583333333334,0.6802312792634259,0.7159519713205333,0.5074626865671642,0.6296296296296297,0.84,0.22727272727272727,0.06818181818181818,,,,pima,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.7285970149253731,0.71875,0.708502024291498,0.7250126518218624,0.7611940298507462,0.5730337078651685,0.696,,,0.0,44.0,,pima,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.6937313432835821,0.75,0.7035512094698919,0.7389989706639217,0.5074626865671642,0.6938775510204082,0.88,,,0.0,44.0,,pima,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_knn
0,0.6942686567164179,0.7552083333333334,0.7053195310714169,0.7419467529852289,0.4925373134328358,0.717391304347826,0.896,,,0.0,44.0,,pima,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_crossfamily
0,0.5223880597014925,0.6666666666666666,0.4409463148316652,0.5482559902942069,0.04477611940298507,1.0,1.0,,,0.0,0.0,,pima,lr,29,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
44,0.7435820895522388,0.796875,0.7579440762889931,0.787268668175206,0.5671641791044776,0.7916666666666666,0.92,0.38636363636363635,0.0,,,,pima,lr,29,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.7387462686567164,0.75,0.7318123617739495,0.7529100221161681,0.7014925373134329,0.6266666666666667,0.776,,,0.0,44.0,,pima,lr,29,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.7331940298507462,0.796875,0.7501918265221017,0.7828138031693078,0.5223880597014925,0.8333333333333334,0.944,,,0.0,44.0,,pima,lr,29,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_knn
0,0.7291940298507462,0.7916666666666666,0.7451891174518912,0.7780634815306348,0.5223880597014925,0.813953488372093,0.936,,,0.0,44.0,,pima,lr,29,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_crossfamily
0,0.5666268656716418,0.6927083333333334,0.5298609670056028,0.6134463408729335,0.14925373134328357,0.8333333333333334,0.984,,,0.0,0.0,,pima,lr,31,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
44,0.6633432835820896,0.7239583333333334,0.671052206238888,0.710903574699639,0.4626865671641791,0.6458333333333334,0.864,0.38636363636363635,0.022727272727272728,,,,pima,lr,31,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.6643582089552239,0.6666666666666666,0.6515426497277677,0.6734724742891712,0.6567164179104478,0.5176470588235295,0.672,,,0.0,44.0,,pima,lr,31,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.6420298507462687,0.71875,0.6481607167096511,0.6957674426496538,0.3880597014925373,0.6666666666666666,0.896,,,0.0,44.0,,pima,lr,31,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_knn
0,0.6380298507462687,0.7135416666666666,0.6437126758662572,0.6913606931183013,0.3880597014925373,0.65,0.888,,,0.0,44.0,,pima,lr,31,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_crossfamily
0,0.5298507462686567,0.671875,0.45569905053323134,0.559320580029699,0.05970149253731343,1.0,1.0,,,0.0,0.0,,pima,lr,37,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
44,0.660955223880597,0.734375,0.6696244812578023,0.713807188164243,0.417910447761194,0.7,0.904,0.4318181818181818,0.022727272727272728,,,,pima,lr,37,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.6734328358208955,0.6875,0.6666666666666667,0.6918402777777778,0.6268656716417911,0.5454545454545454,0.72,,,0.0,44.0,,pima,lr,37,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.6316417910447761,0.71875,0.6349295774647887,0.6877728873239436,0.34328358208955223,0.696969696969697,0.92,,,0.0,44.0,,pima,lr,37,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_knn
0,0.6465671641791045,0.7291666666666666,0.6528994576554026,0.702049436795995,0.373134328358209,0.7142857142857143,0.92,,,0.0,44.0,,pima,lr,37,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_crossfamily
0,0.5149253731343284,0.6614583333333334,0.42581090407177363,0.5369292040487693,0.029850746268656716,1.0,1.0,,,0.0,0.0,,pima,lr,41,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
44,0.6614925373134328,0.7395833333333334,0.6703296703296704,0.71597413003663,0.40298507462686567,0.7297297297297297,0.92,0.3409090909090909,0.022727272727272728,,,,pima,lr,41,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.6865074626865671,0.7135416666666666,0.6858545292280231,0.7140274059199762,0.5970149253731343,0.5882352941176471,0.776,,,0.0,44.0,,pima,lr,41,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5879402985074627,0.6979166666666666,0.5724815724815725,0.6424357596232596,0.22388059701492538,0.7142857142857143,0.952,,,0.0,44.0,,pima,lr,41,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_knn
0,0.6247164179104479,0.71875,0.625,0.681640625,0.31343283582089554,0.7241379310344828,0.936,,,0.0,44.0,,pima,lr,41,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_crossfamily
0,0.5482388059701493,0.6822916666666666,0.49462783171521035,0.5876577669902913,0.1044776119402985,0.875,0.992,,,0.0,0.0,,pima,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
44,0.7017313432835821,0.7604166666666666,0.7130604288499025,0.7482740415854451,0.5074626865671642,0.723404255319149,0.896,0.3409090909090909,0.022727272727272728,,,,pima,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.7904477611940299,0.78125,0.7713248638838476,0.7857163112522686,0.8208955223880597,0.6470588235294118,0.76,,,0.0,44.0,,pima,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.7395820895522388,0.7916666666666666,0.7529593412249099,0.7824991422199349,0.5671641791044776,0.7755102040816326,0.912,,,0.0,44.0,,pima,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_knn
0,0.739044776119403,0.7864583333333334,0.7503726018709371,0.7790434570054438,0.582089552238806,0.75,0.896,,,0.0,44.0,,pima,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_crossfamily
0,0.5333134328358209,0.671875,0.467206977051491,0.5669611394969828,0.07462686567164178,0.8333333333333334,0.992,,,0.0,0.0,,pima,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
44,0.6558805970149254,0.71875,0.6631578947368422,0.7044956140350878,0.44776119402985076,0.6382978723404256,0.864,0.29545454545454547,0.045454545454545456,,,,pima,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.7312835820895522,0.7447916666666666,0.7254180894842834,0.7474507851034643,0.6865671641791045,0.6216216216216216,0.776,,,0.0,44.0,,pima,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.6937313432835821,0.75,0.7035512094698919,0.7389989706639217,0.5074626865671642,0.6938775510204082,0.88,,,0.0,44.0,,pima,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_knn
0,0.7062686567164179,0.7708333333333334,0.7197080291970803,0.7558698296836983,0.4925373134328358,0.7674418604651163,0.92,,,0.0,44.0,,pima,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_crossfamily
0,0.5074626865671642,0.65625,0.41027550260610574,0.5253280900967982,0.014925373134328358,1.0,1.0,,,0.0,0.0,,pima,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
44,0.6311044776119403,0.7135416666666666,0.6351449400545901,0.6862349416669545,0.3582089552238806,0.6666666666666666,0.904,0.38636363636363635,0.022727272727272728,,,,pima,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.6561194029850747,0.6875,0.6561194029850747,0.6875,0.5522388059701493,0.5522388059701493,0.76,,,0.0,44.0,,pima,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.6087164179104478,0.6979166666666666,0.607887323943662,0.6646449530516433,0.31343283582089554,0.6363636363636364,0.904,,,0.0,44.0,,pima,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_knn
0,0.6047164179104478,0.6927083333333334,0.6036805093936956,0.6604235180585195,0.31343283582089554,0.6176470588235294,0.896,,,0.0,44.0,,pima,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_crossfamily
0,0.5447619047619048,0.72,0.5084821930120211,0.6374564655656668,0.10666666666666667,0.7272727272727273,0.9828571428571429,,,0.0,0.0,,credit-g,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
62,0.6323809523809524,0.736,0.6422066094197242,0.7154826958105646,0.37333333333333335,0.5957446808510638,0.8914285714285715,0.2903225806451613,0.016129032258064516,,,,credit-g,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.6457142857142857,0.68,0.6370499419279907,0.6869918699186991,0.56,0.47191011235955055,0.7314285714285714,,,0.0,62.0,,credit-g,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5923809523809523,0.728,0.5929508667752131,0.686734987070204,0.25333333333333335,0.6129032258064516,0.9314285714285714,,,0.0,62.0,,credit-g,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_knn
0,0.6171428571428571,0.736,0.625034087810199,0.7066266703026998,0.32,0.6153846153846154,0.9142857142857143,,,0.0,62.0,,credit-g,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_crossfamily
