deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,method,noise_level,mn_to_maj,maj_to_min
0,0.5402388059701493,0.4883032277169085,0.1044776119402985,,,0,0,,pima,lr,13,no_cleaning,low,0.1,0.05
44,0.6748059701492537,0.6834653305317602,0.47761194029850745,0.2727272727272727,0.045454545454545456,0,0,,pima,lr,13,class_proportional,low,0.1,0.05
0,0.719044776119403,0.7260545905707196,0.582089552238806,,,44,0,0.13636363636363635,pima,lr,13,balanced_oof_relabel,low,0.1,0.05
0,0.6407164179104478,0.642644431209053,0.31343283582089554,,,44,0,0.0,pima,lr,13,random_relabel,low,0.1,0.05
0,0.5213134328358209,0.45864661654135336,0.07462686567164178,,,0,0,,pima,lr,13,no_cleaning,medium,0.3,0.1
44,0.6518805970149254,0.6586390819460158,0.44776119402985076,0.3181818181818182,0.09090909090909091,0,0,,pima,lr,13,class_proportional,medium,0.3,0.1
0,0.7105074626865671,0.713999088007296,0.5970149253731343,,,44,0,0.20454545454545456,pima,lr,13,balanced_oof_relabel,medium,0.3,0.1
0,0.586865671641791,0.5774027879677183,0.2537313432835821,,,44,0,0.09090909090909091,pima,lr,13,random_relabel,medium,0.3,0.1
0,0.496,0.3924050632911392,0.0,,,0,0,,pima,lr,13,no_cleaning,high,0.4,0.2
44,0.6585671641791044,0.6665603402445508,0.373134328358209,0.3409090909090909,0.09090909090909091,0,0,,pima,lr,13,class_proportional,high,0.4,0.2
0,0.7115820895522388,0.7189047752546491,0.5671641791044776,,,44,0,0.20454545454545456,pima,lr,13,balanced_oof_relabel,high,0.4,0.2
0,0.5626268656716418,0.5263157894736843,0.14925373134328357,,,44,0,0.11363636363636363,pima,lr,13,random_relabel,high,0.4,0.2
0,0.5402388059701493,0.4883032277169085,0.1044776119402985,,,0,0,,pima,lr,17,no_cleaning,low,0.1,0.05
44,0.7505074626865671,0.7625495481211353,0.5970149253731343,0.1590909090909091,0.045454545454545456,0,0,,pima,lr,17,class_proportional,low,0.1,0.05
0,0.7592835820895523,0.7592835820895523,0.6865671641791045,,,44,0,0.045454545454545456,pima,lr,17,balanced_oof_relabel,low,0.1,0.05
0,0.5735522388059702,0.5465716687347396,0.1791044776119403,,,44,0,0.0,pima,lr,17,random_relabel,low,0.1,0.05
0,0.5183880597014925,0.43841965531206406,0.04477611940298507,,,0,0,,pima,lr,17,no_cleaning,medium,0.3,0.1
44,0.6793432835820896,0.6895356895356894,0.4626865671641791,0.3181818181818182,0.0,0,0,,pima,lr,17,class_proportional,medium,0.3,0.1
0,0.7294328358208955,0.7325257419745609,0.6268656716417911,,,44,0,0.13636363636363635,pima,lr,17,balanced_oof_relabel,medium,0.3,0.1
0,0.5924776119402985,0.5733333333333334,0.208955223880597,,,44,0,0.06818181818181818,pima,lr,17,random_relabel,medium,0.3,0.1
0,0.4954626865671642,0.40386086486972955,0.014925373134328358,,,0,0,,pima,lr,17,no_cleaning,high,0.4,0.2
44,0.6047164179104478,0.6036805093936956,0.31343283582089554,0.3409090909090909,0.09090909090909091,0,0,,pima,lr,17,class_proportional,high,0.4,0.2
0,0.6835820895522389,0.6860084797092671,0.5671641791044776,,,44,0,0.22727272727272727,pima,lr,17,balanced_oof_relabel,high,0.4,0.2
0,0.562089552238806,0.5312012168274427,0.16417910447761194,,,44,0,0.13636363636363635,pima,lr,17,random_relabel,high,0.4,0.2
0,0.5597014925373134,0.5111974110032362,0.11940298507462686,,,0,0,,pima,lr,23,no_cleaning,low,0.1,0.05
44,0.7131940298507462,0.7255360623781677,0.5223880597014925,0.06818181818181818,0.11363636363636363,0,0,,pima,lr,23,class_proportional,low,0.1,0.05
0,0.7134328358208956,0.7134328358208956,0.6268656716417911,,,44,0,0.045454545454545456,pima,lr,23,balanced_oof_relabel,low,0.1,0.05
0,0.5999402985074627,0.5844973440881369,0.22388059701492538,,,44,0,0.0,pima,lr,23,random_relabel,low,0.1,0.05
0,0.5522388059701493,0.4978204010462075,0.1044776119402985,,,0,0,,pima,lr,23,no_cleaning,medium,0.3,0.1
44,0.6737313432835821,0.6802312792634259,0.5074626865671642,0.22727272727272727,0.06818181818181818,0,0,,pima,lr,23,class_proportional,medium,0.3,0.1
0,0.6945074626865672,0.6951741904562202,0.5970149253731343,,,44,0,0.11363636363636363,pima,lr,23,balanced_oof_relabel,medium,0.3,0.1
0,0.5482388059701493,0.49462783171521035,0.1044776119402985,,,44,0,0.11363636363636363,pima,lr,23,random_relabel,medium,0.3,0.1
0,0.5,0.3943217665615142,0.0,,,0,0,,pima,lr,23,no_cleaning,high,0.4,0.2
44,0.664955223880597,0.6742228858422696,0.417910447761194,0.29545454545454547,0.09090909090909091,0,0,,pima,lr,23,class_proportional,high,0.4,0.2
0,0.6761194029850747,0.6789785681714546,0.5522388059701493,,,44,0,0.13636363636363635,pima,lr,23,balanced_oof_relabel,high,0.4,0.2
0,0.5034626865671642,0.40814354727398205,0.014925373134328358,,,44,0,0.045454545454545456,pima,lr,23,random_relabel,high,0.4,0.2
0,0.6154029850746269,0.6038095238095238,0.23880597014925373,,,0,0,,pima,lr,29,no_cleaning,low,0.1,0.05
44,0.7315820895522388,0.7430865298840321,0.5671641791044776,0.18181818181818182,0.045454545454545456,0,0,,pima,lr,29,class_proportional,low,0.1,0.05
0,0.7065074626865671,0.709267110841914,0.5970149253731343,,,44,0,0.06818181818181818,pima,lr,29,balanced_oof_relabel,low,0.1,0.05
0,0.6820298507462687,0.6944444444444444,0.3880597014925373,,,44,0,0.045454545454545456,pima,lr,29,random_relabel,low,0.1,0.05
0,0.5223880597014925,0.4409463148316652,0.04477611940298507,,,0,0,,pima,lr,29,no_cleaning,medium,0.3,0.1
44,0.7435820895522388,0.7579440762889931,0.5671641791044776,0.38636363636363635,0.0,0,0,,pima,lr,29,class_proportional,medium,0.3,0.1
0,0.7603582089552239,0.765625,0.6567164179104478,,,44,0,0.25,pima,lr,29,balanced_oof_relabel,medium,0.3,0.1
0,0.6039402985074627,0.5885714285714285,0.22388059701492538,,,44,0,0.11363636363636363,pima,lr,29,random_relabel,medium,0.3,0.1
0,0.5149253731343284,0.42581090407177363,0.029850746268656716,,,0,0,,pima,lr,29,no_cleaning,high,0.4,0.2
44,0.672955223880597,0.6835164835164835,0.417910447761194,0.4318181818181818,0.022727272727272728,0,0,,pima,lr,29,class_proportional,high,0.4,0.2
0,0.719044776119403,0.7260545905707196,0.582089552238806,,,44,0,0.22727272727272727,pima,lr,29,balanced_oof_relabel,high,0.4,0.2
0,0.598865671641791,0.589543562239808,0.2537313432835821,,,44,0,0.18181818181818182,pima,lr,29,random_relabel,high,0.4,0.2
