deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,dataset,model,seed,method,budget
0,0.5213134328358209,0.45864661654135336,0.07462686567164178,0.0,0.0,pima,lr,13,no_cleaning,0.05
22,0.5213134328358209,0.45864661654135336,0.07462686567164178,0.09090909090909091,0.09090909090909091,pima,lr,13,random_deletion,0.05
22,0.5213134328358209,0.45864661654135336,0.07462686567164178,0.6363636363636364,0.36363636363636365,pima,lr,13,global_top_loss,0.05
22,0.5937910447761194,0.5889824461253033,0.2835820895522388,0.3181818181818182,0.09090909090909091,pima,lr,13,class_proportional,0.05
22,0.5213134328358209,0.45864661654135336,0.07462686567164178,1.0,0.0,pima,lr,13,oracle_deletion,0.05
22,0.5937910447761194,0.5889824461253033,0.2835820895522388,0.3181818181818182,0.09090909090909091,pima,lr,13,crcc_p_l0,0.05
22,0.5937910447761194,0.5889824461253033,0.2835820895522388,0.3181818181818182,0.09090909090909091,pima,lr,13,crcc_p_l025,0.05
22,0.5937910447761194,0.5889824461253033,0.2835820895522388,0.3181818181818182,0.09090909090909091,pima,lr,13,crcc_p_l05,0.05
22,0.5937910447761194,0.5889824461253033,0.2835820895522388,0.3181818181818182,0.09090909090909091,pima,lr,13,crcc_p_l10,0.05
22,0.6047164179104478,0.6036805093936956,0.31343283582089554,0.3181818181818182,0.045454545454545456,pima,lr,13,crcc_m,0.05
0,0.5223880597014925,0.4409463148316652,0.04477611940298507,0.0,0.0,pima,lr,29,no_cleaning,0.05
22,0.5447761194029851,0.48412104127207856,0.08955223880597014,0.13636363636363635,0.045454545454545456,pima,lr,29,random_deletion,0.05
22,0.5706268656716418,0.5334338863750628,0.14925373134328357,0.7272727272727273,0.22727272727272727,pima,lr,29,global_top_loss,0.05
22,0.6918805970149254,0.7050691244239631,0.44776119402985076,0.45454545454545453,0.0,pima,lr,29,class_proportional,0.05
22,0.5333134328358209,0.467206977051491,0.07462686567164178,1.0,0.0,pima,lr,29,oracle_deletion,0.05
22,0.6918805970149254,0.7050691244239631,0.44776119402985076,0.45454545454545453,0.0,pima,lr,29,crcc_p_l0,0.05
22,0.6918805970149254,0.7050691244239631,0.44776119402985076,0.45454545454545453,0.0,pima,lr,29,crcc_p_l025,0.05
22,0.6918805970149254,0.7050691244239631,0.44776119402985076,0.45454545454545453,0.0,pima,lr,29,crcc_p_l05,0.05
22,0.6918805970149254,0.7050691244239631,0.44776119402985076,0.45454545454545453,0.0,pima,lr,29,crcc_p_l10,0.05
22,0.6849552238805969,0.6977224224189204,0.417910447761194,0.36363636363636365,0.0,pima,lr,29,crcc_m,0.05
0,0.5333134328358209,0.467206977051491,0.07462686567164178,0.0,0.0,pima,lr,47,no_cleaning,0.05
22,0.5631641791044776,0.5207919116713905,0.13432835820895522,0.045454545454545456,0.045454545454545456,pima,lr,47,random_deletion,0.05
22,0.5850149253731343,0.5619421206420365,0.19402985074626866,0.7272727272727273,0.2727272727272727,pima,lr,47,global_top_loss,0.05
22,0.636179104477612,0.6388888888888888,0.3283582089552239,0.3181818181818182,0.045454545454545456,pima,lr,47,class_proportional,0.05
22,0.5517014925373134,0.5045475696941495,0.11940298507462686,1.0,0.0,pima,lr,47,oracle_deletion,0.05
22,0.636179104477612,0.6388888888888888,0.3283582089552239,0.3181818181818182,0.045454545454545456,pima,lr,47,crcc_p_l0,0.05
22,0.636179104477612,0.6388888888888888,0.3283582089552239,0.3181818181818182,0.045454545454545456,pima,lr,47,crcc_p_l025,0.05
22,0.636179104477612,0.6388888888888888,0.3283582089552239,0.3181818181818182,0.045454545454545456,pima,lr,47,crcc_p_l05,0.05
22,0.636179104477612,0.6388888888888888,0.3283582089552239,0.3181818181818182,0.045454545454545456,pima,lr,47,crcc_p_l10,0.05
22,0.636179104477612,0.6388888888888888,0.3283582089552239,0.3181818181818182,0.0,pima,lr,47,crcc_m,0.05
0,0.5447761194029851,0.48412104127207856,0.08955223880597014,0.0,0.0,pima,lr,61,no_cleaning,0.05
22,0.5597014925373134,0.5111974110032362,0.11940298507462686,0.2727272727272727,0.13636363636363635,pima,lr,61,random_deletion,0.05
22,0.5970149253731343,0.5736842105263158,0.19402985074626866,0.7272727272727273,0.2727272727272727,pima,lr,61,global_top_loss,0.05
22,0.6551044776119402,0.6620568267538345,0.3582089552238806,0.4090909090909091,0.045454545454545456,pima,lr,61,class_proportional,0.05
22,0.5373134328358209,0.4700854700854701,0.07462686567164178,1.0,0.0,pima,lr,61,oracle_deletion,0.05
22,0.6551044776119402,0.6620568267538345,0.3582089552238806,0.4090909090909091,0.045454545454545456,pima,lr,61,crcc_p_l0,0.05
22,0.6551044776119402,0.6620568267538345,0.3582089552238806,0.4090909090909091,0.045454545454545456,pima,lr,61,crcc_p_l025,0.05
22,0.6551044776119402,0.6620568267538345,0.3582089552238806,0.4090909090909091,0.045454545454545456,pima,lr,61,crcc_p_l05,0.05
