budget,dataset,model,method,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,minority_recall_mean,minority_recall_std,noise_precision_deleted_mean,noise_precision_deleted_std,clean_minority_deletion_rate_mean,clean_minority_deletion_rate_std
0.05,credit-g,hgb,class_proportional,0.5568,0.0113,0.5463,0.0158,0.1947,0.0242,0.2065,0.054,0.071,0.0421
0.05,credit-g,hgb,crcc_m,0.5699,0.0264,0.5656,0.0343,0.2347,0.053,0.1419,0.0489,0.0258,0.0144
0.05,credit-g,hgb,crcc_p_l0,0.5568,0.0113,0.5463,0.0158,0.1947,0.0242,0.2065,0.054,0.071,0.0421
0.05,credit-g,hgb,crcc_p_l025,0.5568,0.0113,0.5463,0.0158,0.1947,0.0242,0.2065,0.054,0.071,0.0421
0.05,credit-g,hgb,crcc_p_l05,0.5568,0.0113,0.5463,0.0158,0.1947,0.0242,0.2065,0.054,0.071,0.0421
0.05,credit-g,hgb,crcc_p_l10,0.5568,0.0113,0.5463,0.0158,0.1947,0.0242,0.2065,0.054,0.071,0.0421
0.05,credit-g,hgb,global_top_loss,0.5349,0.005,0.4985,0.0116,0.104,0.0174,0.529,0.0489,0.471,0.0489
0.05,credit-g,hgb,no_cleaning,0.5442,0.0174,0.5169,0.0273,0.1307,0.0318,0.0,0.0,0.0,0.0
0.05,credit-g,hgb,oracle_deletion,0.561,0.0191,0.5412,0.0278,0.1573,0.0345,1.0,0.0,0.0,0.0
0.05,credit-g,hgb,random_deletion,0.5415,0.0223,0.5148,0.0347,0.1333,0.0442,0.1032,0.0924,0.0839,0.0368
0.05,credit-g,lr,class_proportional,0.5914,0.0277,0.5895,0.0381,0.24,0.0525,0.2903,0.0559,0.0516,0.0289
0.05,credit-g,lr,crcc_m,0.5909,0.0316,0.5882,0.044,0.24,0.0653,0.2194,0.062,0.0129,0.0177
0.05,credit-g,lr,crcc_p_l0,0.5914,0.0277,0.5895,0.0381,0.24,0.0525,0.2903,0.0559,0.0516,0.0289
0.05,credit-g,lr,crcc_p_l025,0.5914,0.0277,0.5895,0.0381,0.24,0.0525,0.2903,0.0559,0.0516,0.0289
0.05,credit-g,lr,crcc_p_l05,0.5914,0.0277,0.5895,0.0381,0.24,0.0525,0.2903,0.0559,0.0516,0.0289
0.05,credit-g,lr,crcc_p_l10,0.5914,0.0277,0.5895,0.0381,0.24,0.0525,0.2903,0.0559,0.0516,0.0289
0.05,credit-g,lr,global_top_loss,0.5663,0.0253,0.5476,0.0411,0.168,0.0623,0.6581,0.0872,0.3419,0.0872
0.05,credit-g,lr,no_cleaning,0.5291,0.0142,0.4775,0.0307,0.072,0.0384,0.0,0.0,0.0,0.0
0.05,credit-g,lr,oracle_deletion,0.5436,0.0269,0.5014,0.0513,0.0987,0.0601,1.0,0.0,0.0,0.0
0.05,credit-g,lr,random_deletion,0.536,0.0246,0.4899,0.0479,0.088,0.0586,0.1032,0.0924,0.0839,0.0368
0.05,ecoli,hgb,class_proportional,0.7727,0.1174,0.7709,0.098,0.6316,0.244,0.4545,0.1286,0.0364,0.0498
0.05,ecoli,hgb,crcc_m,0.7591,0.1011,0.7609,0.0884,0.6105,0.2025,0.4,0.1379,0.0182,0.0407
