deleted,balanced_accuracy,accuracy,macro_f1,weighted_f1,minority_recall,minority_precision,majority_recall,pr_auc,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,noise_protocol,mn_to_maj,maj_to_min,budget,target_ratio,method
0,0.5770149253731343,0.6927083333333334,0.5542789691127288,0.6293154469145518,0.19402985074626866,0.7222222222222222,0.96,0.6665870953990388,,,0.0,0.0,,pima,lr,13,clean,0.0,0.0,0.1,0.15,no_cleaning
44,0.7086567164179105,0.7604166666666666,0.718618580349178,0.7513792425980205,0.5373134328358209,0.7058823529411765,0.88,0.6472997985752659,0.0,0.1590909090909091,,,,pima,lr,13,clean,0.0,0.0,0.1,0.15,class_proportional
0,0.6540298507462687,0.734375,0.6616798535051653,0.7090542186366307,0.3880597014925373,0.7222222222222222,0.92,0.6578236121353309,,,0.0,44.0,,pima,lr,13,clean,0.0,0.0,0.1,0.15,smote
0,0.7502089552238806,0.7604166666666666,0.7429868467000349,0.7632054378613278,0.7164179104477612,0.64,0.784,0.6522745824327598,,,0.0,44.0,,pima,lr,13,clean,0.0,0.0,0.1,0.15,cwms_msbs
0,0.6108656716417911,0.71875,0.6019656019656019,0.6670953624078623,0.2537313432835821,0.8095238095238095,0.968,0.6923647712720556,,,0.0,0.0,,pima,lr,17,clean,0.0,0.0,0.1,0.15,no_cleaning
44,0.7425074626865671,0.7864583333333334,0.7526317443358577,0.7802647325309785,0.5970149253731343,0.7407407407407407,0.888,0.6904092791301608,0.0,0.1590909090909091,,,,pima,lr,17,clean,0.0,0.0,0.1,0.15,class_proportional
0,0.6958805970149253,0.7708333333333334,0.7098901098901098,0.7500572344322345,0.44776119402985076,0.8108108108108109,0.944,0.6944735787930694,,,0.0,44.0,,pima,lr,17,clean,0.0,0.0,0.1,0.15,smote
0,0.7616716417910447,0.7708333333333334,0.7541613316261204,0.7735008536064875,0.7313432835820896,0.6533333333333333,0.792,0.6812421425694071,,,0.0,44.0,,pima,lr,17,clean,0.0,0.0,0.1,0.15,cwms_msbs
0,0.5671641791044776,0.6979166666666666,0.5242652084757348,0.6110909375712007,0.13432835820895522,1.0,1.0,0.7593014173011576,,,0.0,0.0,,pima,lr,23,clean,0.0,0.0,0.1,0.15,no_cleaning
44,0.7246567164179105,0.78125,0.7380116959064327,0.7701632553606238,0.5373134328358209,0.7659574468085106,0.912,0.7557190844123474,0.0,0.1590909090909091,,,,pima,lr,23,clean,0.0,0.0,0.1,0.15,class_proportional
0,0.648179104477612,0.7447916666666666,0.6523666999224034,0.7065146602372243,0.3283582089552239,0.8461538461538461,0.968,0.7480024836025055,,,0.0,44.0,,pima,lr,23,clean,0.0,0.0,0.1,0.15,smote
0,0.7496716417910447,0.7552083333333334,0.7396046746501226,0.7588602534506804,0.7313432835820896,0.6282051282051282,0.768,0.7337128905155108,,,0.0,44.0,,pima,lr,23,clean,0.0,0.0,0.1,0.15,cwms_msbs
0,0.6148656716417911,0.7239583333333334,0.6061767096249855,0.6712370351019777,0.2537313432835821,0.85,0.976,0.7165752084688833,,,0.0,0.0,,pima,lr,29,clean,0.0,0.0,0.1,0.15,no_cleaning
44,0.7017313432835821,0.7604166666666666,0.7130604288499025,0.7482740415854451,0.5074626865671642,0.723404255319149,0.896,0.7306038487741072,0.0,0.1590909090909091,,,,pima,lr,29,clean,0.0,0.0,0.1,0.15,class_proportional
0,0.7108059701492537,0.78125,0.7263472241075064,0.7633746776163974,0.47761194029850745,0.8205128205128205,0.944,0.724326929669266,,,0.0,44.0,,pima,lr,29,clean,0.0,0.0,0.1,0.15,smote
0,0.7214328358208955,0.75,0.722943722943723,0.7490981240981242,0.6268656716417911,0.6461538461538462,0.816,0.7453539975693738,,,0.0,44.0,,pima,lr,29,clean,0.0,0.0,0.1,0.15,cwms_msbs
0,0.6103283582089551,0.7135416666666666,0.6039455425120954,0.666881930640463,0.26865671641791045,0.75,0.952,0.6680891417452623,,,0.0,0.0,,pima,lr,31,clean,0.0,0.0,0.1,0.15,no_cleaning
44,0.6966567164179105,0.7447916666666666,0.704364767620903,0.7373895583906819,0.5373134328358209,0.6666666666666666,0.856,0.667999285533644,0.0,0.1590909090909091,,,,pima,lr,31,clean,0.0,0.0,0.1,0.15,class_proportional
0,0.6454925373134328,0.71875,0.6521739130434783,0.6981431159420289,0.40298507462686567,0.6585365853658537,0.888,0.6774225143002196,,,0.0,44.0,,pima,lr,31,clean,0.0,0.0,0.1,0.15,smote
