deleted,balanced_accuracy,accuracy,macro_f1,weighted_f1,minority_recall,minority_precision,majority_recall,pr_auc,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,noise_protocol,mn_to_maj,maj_to_min,budget,target_ratio,method
0,0.5402388059701493,0.671875,0.4883032277169085,0.5808872519988155,0.1044776119402985,0.7,0.976,0.6705609387087477,,,0.0,0.0,,pima,lr,13,hidden_minority_low,0.1,0.05,0.1,0.15,no_cleaning
44,0.6748059701492537,0.734375,0.6834653305317602,0.7218128737675772,0.47761194029850745,0.6666666666666666,0.872,0.6634438716764667,0.2727272727272727,0.045454545454545456,,,,pima,lr,13,hidden_minority_low,0.1,0.05,0.1,0.15,class_proportional
0,0.6217910447761194,0.7239583333333334,0.6183475227843829,0.6789953149808099,0.2835820895522388,0.7916666666666666,0.96,0.6882370379161575,,,0.0,44.0,,pima,lr,13,hidden_minority_low,0.1,0.05,0.1,0.15,smote
0,0.7675223880597015,0.7604166666666666,0.7495462794918331,0.7653083408953417,0.7910447761194029,0.6235294117647059,0.744,0.6689349983372146,,,0.0,44.0,,pima,lr,13,hidden_minority_low,0.1,0.05,0.1,0.15,iw_smote
0,0.6132537313432835,0.7083333333333334,0.6111111111111112,0.6698495370370371,0.29850746268656714,0.6896551724137931,0.928,0.6635178579375829,,,0.0,44.0,,pima,lr,13,hidden_minority_low,0.1,0.05,0.1,0.15,sw_framework
0,0.7765970149253731,0.78125,0.7666666666666666,0.7842881944444445,0.7611940298507462,0.6623376623376623,0.792,0.6533049611772176,,,0.0,44.0,,pima,lr,13,hidden_minority_low,0.1,0.05,0.1,0.15,cwms_msbs
0,0.5402388059701493,0.671875,0.4883032277169085,0.5808872519988155,0.1044776119402985,0.7,0.976,0.6977268934373002,,,0.0,0.0,,pima,lr,17,hidden_minority_low,0.1,0.05,0.1,0.15,no_cleaning
44,0.7505074626865671,0.796875,0.7625495481211353,0.7898218249563977,0.5970149253731343,0.7692307692307693,0.904,0.70933494221528,0.1590909090909091,0.045454545454545456,,,,pima,lr,17,hidden_minority_low,0.1,0.05,0.1,0.15,class_proportional
0,0.6660298507462686,0.75,0.6754929577464789,0.7224647887323944,0.3880597014925373,0.7878787878787878,0.944,0.6791338195742662,,,0.0,44.0,,pima,lr,17,hidden_minority_low,0.1,0.05,0.1,0.15,smote
0,0.741134328358209,0.7395833333333334,0.7264957264957265,0.7445690883190883,0.746268656716418,0.6024096385542169,0.736,0.666137608255693,,,0.0,44.0,,pima,lr,17,hidden_minority_low,0.1,0.05,0.1,0.15,iw_smote
0,0.6551044776119402,0.7447916666666666,0.6620568267538345,0.7125686237532478,0.3582089552238806,0.8,0.952,0.6857741203707601,,,0.0,44.0,,pima,lr,17,hidden_minority_low,0.1,0.05,0.1,0.15,sw_framework
0,0.7576716417910447,0.765625,0.7492963468067202,0.7686241403824391,0.7313432835820896,0.6447368421052632,0.784,0.6791016810793965,,,0.0,44.0,,pima,lr,17,hidden_minority_low,0.1,0.05,0.1,0.15,cwms_msbs
0,0.5597014925373134,0.6927083333333334,0.5111974110032362,0.6011771844660195,0.11940298507462686,1.0,1.0,0.7474469662954606,,,0.0,0.0,,pima,lr,23,hidden_minority_low,0.1,0.05,0.1,0.15,no_cleaning
44,0.7131940298507462,0.7708333333333334,0.7255360623781677,0.7592186484730344,0.5223880597014925,0.7446808510638298,0.904,0.7459518045956214,0.06818181818181818,0.11363636363636363,,,,pima,lr,23,hidden_minority_low,0.1,0.05,0.1,0.15,class_proportional
0,0.6297910447761194,0.734375,0.627042468101314,0.6874821462578556,0.2835820895522388,0.8636363636363636,0.976,0.7341842458386395,,,0.0,44.0,,pima,lr,23,hidden_minority_low,0.1,0.05,0.1,0.15,smote
0,0.741134328358209,0.7395833333333334,0.7264957264957265,0.7445690883190883,0.746268656716418,0.6024096385542169,0.736,0.73878043620464,,,0.0,44.0,,pima,lr,23,hidden_minority_low,0.1,0.05,0.1,0.15,iw_smote
0,0.640179104477612,0.734375,0.6433436532507739,0.6977747678018575,0.3283582089552239,0.7857142857142857,0.952,0.7524050687921688,,,0.0,44.0,,pima,lr,23,hidden_minority_low,0.1,0.05,0.1,0.15,sw_framework
0,0.7347462686567164,0.7447916666666666,0.7270115776339843,0.7480573973053225,0.7014925373134329,0.618421052631579,0.768,0.7335319553666247,,,0.0,44.0,,pima,lr,23,hidden_minority_low,0.1,0.05,0.1,0.15,cwms_msbs
0,0.6154029850746269,0.7291666666666666,0.6038095238095238,0.6711309523809524,0.23880597014925373,0.9411764705882353,0.992,0.7548805166641639,,,0.0,0.0,,pima,lr,29,hidden_minority_low,0.1,0.05,0.1,0.15,no_cleaning
44,0.7315820895522388,0.78125,0.7430865298840321,0.7729984388938447,0.5671641791044776,0.7450980392156863,0.896,0.7692674819354085,0.18181818181818182,0.045454545454545456,,,,pima,lr,29,hidden_minority_low,0.1,0.05,0.1,0.15,class_proportional
0,0.6849552238805969,0.765625,0.6977224224189204,0.7410009883497183,0.417910447761194,0.8235294117647058,0.952,0.7476146489099803,,,0.0,44.0,,pima,lr,29,hidden_minority_low,0.1,0.05,0.1,0.15,smote
0,0.7302089552238806,0.734375,0.7189356755360372,0.7388352492895892,0.7164179104477612,0.6,0.744,0.7625821556421869,,,0.0,44.0,,pima,lr,29,hidden_minority_low,0.1,0.05,0.1,0.15,iw_smote
0,0.7108059701492537,0.78125,0.7263472241075064,0.7633746776163974,0.47761194029850745,0.8205128205128205,0.944,0.7581755801049639,,,0.0,44.0,,pima,lr,29,hidden_minority_low,0.1,0.05,0.1,0.15,sw_framework
0,0.7358208955223882,0.7552083333333334,0.7333254528798132,0.7564019449944345,0.6716417910447762,0.6428571428571429,0.8,0.7776914057887792,,,0.0,44.0,,pima,lr,29,hidden_minority_low,0.1,0.05,0.1,0.15,cwms_msbs
0,0.6287164179104477,0.7239583333333334,0.6293571298488435,0.6859227979117343,0.31343283582089554,0.75,0.944,0.6720430574095166,,,0.0,0.0,,pima,lr,31,hidden_minority_low,0.1,0.05,0.1,0.15,no_cleaning
44,0.7035820895522388,0.7447916666666666,0.7094054054054054,0.7400382882882882,0.5671641791044776,0.6551724137931034,0.84,0.6811253126500951,0.13636363636363635,0.09090909090909091,,,,pima,lr,31,hidden_minority_low,0.1,0.05,0.1,0.15,class_proportional
0,0.6534925373134328,0.7291666666666666,0.6611918012759603,0.7070353151441111,0.40298507462686567,0.6923076923076923,0.904,0.659128735633997,,,0.0,44.0,,pima,lr,31,hidden_minority_low,0.1,0.05,0.1,0.15,smote
0,0.693134328358209,0.6770833333333334,0.6690023356690022,0.6846255978200423,0.746268656716418,0.5263157894736842,0.64,0.6248711332839407,,,0.0,44.0,,pima,lr,31,hidden_minority_low,0.1,0.05,0.1,0.15,iw_smote
0,0.6868059701492537,0.75,0.6974789915966386,0.7355567226890756,0.47761194029850745,0.7111111111111111,0.896,0.6707390934321384,,,0.0,44.0,,pima,lr,31,hidden_minority_low,0.1,0.05,0.1,0.15,sw_framework
0,0.749134328358209,0.75,0.7361429225836005,0.7544090700870362,0.746268656716418,0.6172839506172839,0.752,0.6804853905270459,,,0.0,44.0,,pima,lr,31,hidden_minority_low,0.1,0.05,0.1,0.15,cwms_msbs
0,0.6103283582089551,0.7135416666666666,0.6039455425120954,0.666881930640463,0.26865671641791045,0.75,0.952,0.6686365488753654,,,0.0,0.0,,pima,lr,37,hidden_minority_low,0.1,0.05,0.1,0.15,no_cleaning
44,0.7075820895522388,0.75,0.7141439205955336,0.7447270471464019,0.5671641791044776,0.6666666666666666,0.848,0.6624105795138102,0.18181818181818182,0.06818181818181818,,,,pima,lr,37,hidden_minority_low,0.1,0.05,0.1,0.15,class_proportional
0,0.6620298507462687,0.7447916666666666,0.6708533044117133,0.7179788539808044,0.3880597014925373,0.7647058823529411,0.936,0.6615474707478808,,,0.0,44.0,,pima,lr,37,hidden_minority_low,0.1,0.05,0.1,0.15,smote
0,0.7040597014925374,0.6822916666666666,0.675882108758821,0.6896507887090079,0.7761194029850746,0.5306122448979592,0.632,0.6414829816854802,,,0.0,44.0,,pima,lr,37,hidden_minority_low,0.1,0.05,0.1,0.15,iw_smote
0,0.6694925373134328,0.75,0.6795994993742178,0.7249687108886107,0.40298507462686567,0.7714285714285715,0.936,0.6658714125957054,,,0.0,44.0,,pima,lr,37,hidden_minority_low,0.1,0.05,0.1,0.15,sw_framework
0,0.7085970149253731,0.6927083333333334,0.6844831908197087,0.6998721671355225,0.7611940298507462,0.5425531914893617,0.656,0.6517705397691985,,,0.0,44.0,,pima,lr,37,hidden_minority_low,0.1,0.05,0.1,0.15,cwms_msbs
0,0.5327761194029851,0.6666666666666666,0.4750512645249487,0.5708589655958077,0.08955223880597014,0.6666666666666666,0.976,0.653693766107898,,,0.0,0.0,,pima,lr,41,hidden_minority_low,0.1,0.05,0.1,0.15,no_cleaning
44,0.6713432835820896,0.734375,0.6802403422264311,0.7199847745158867,0.4626865671641791,0.6739130434782609,0.88,0.6704422765307986,0.22727272727272727,0.022727272727272728,,,,pima,lr,41,hidden_minority_low,0.1,0.05,0.1,0.15,class_proportional
