dataset,model,method,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,minority_recall_mean,minority_recall_std,noise_precision_deleted_mean,noise_precision_deleted_std,clean_minority_deletion_rate_mean,clean_minority_deletion_rate_std
credit-g,hgb,class_proportional,0.6552,0.0272,0.6607,0.0307,0.4773,0.0456,0.3107,0.0209,0.16,0.0082
credit-g,hgb,crcc_m,0.6775,0.008,0.6758,0.0156,0.5573,0.0446,0.2893,0.0273,0.0627,0.0076
credit-g,hgb,crcc_p_l0,0.6552,0.0272,0.6607,0.0307,0.4773,0.0456,0.3107,0.0209,0.16,0.0082
credit-g,hgb,crcc_p_l025,0.6552,0.0272,0.6607,0.0307,0.4773,0.0456,0.3107,0.0209,0.16,0.0082
credit-g,hgb,crcc_p_l05,0.6552,0.0272,0.6607,0.0307,0.4773,0.0456,0.3107,0.0209,0.16,0.0082
credit-g,hgb,crcc_p_l10,0.6552,0.0272,0.6607,0.0307,0.4773,0.0456,0.3107,0.0209,0.16,0.0082
credit-g,hgb,global_top_loss,0.5726,0.0172,0.5591,0.0271,0.184,0.0446,0.3427,0.0532,0.556,0.0477
credit-g,hgb,no_cleaning,0.609,0.0323,0.615,0.0381,0.3093,0.052,0.0,0.0,0.0,0.0
credit-g,hgb,oracle_deletion,0.6501,0.0318,0.6623,0.0349,0.3893,0.0614,1.0,0.0,0.0,0.0
credit-g,hgb,random_deletion,0.5973,0.0147,0.6004,0.0188,0.2907,0.0456,0.1507,0.0379,0.204,0.0348
credit-g,lr,class_proportional,0.6994,0.0355,0.6934,0.033,0.608,0.0671,0.3747,0.039,0.1307,0.0203
credit-g,lr,crcc_m,0.7036,0.0227,0.688,0.0226,0.6587,0.0593,0.344,0.037,0.0467,0.0125
credit-g,lr,crcc_p_l0,0.6994,0.0355,0.6934,0.033,0.608,0.0671,0.3747,0.039,0.1307,0.0203
credit-g,lr,crcc_p_l025,0.6994,0.0355,0.6934,0.033,0.608,0.0671,0.3747,0.039,0.1307,0.0203
credit-g,lr,crcc_p_l05,0.6994,0.0355,0.6934,0.033,0.608,0.0671,0.3747,0.039,0.1307,0.0203
credit-g,lr,crcc_p_l10,0.6994,0.0355,0.6934,0.033,0.608,0.0671,0.3747,0.039,0.1307,0.0203
credit-g,lr,global_top_loss,0.591,0.0484,0.5839,0.0676,0.2267,0.1041,0.3373,0.0402,0.6133,0.0483
credit-g,lr,no_cleaning,0.5842,0.0405,0.5741,0.0601,0.2107,0.0921,0.0,0.0,0.0,0.0
credit-g,lr,oracle_deletion,0.6421,0.0272,0.6533,0.032,0.3653,0.0623,1.0,0.0,0.0,0.0
credit-g,lr,random_deletion,0.5937,0.0511,0.585,0.0746,0.224,0.1145,0.1507,0.0379,0.204,0.0348
pima,hgb,class_proportional,0.6972,0.0335,0.6992,0.0334,0.5881,0.0584,0.3178,0.0448,0.1477,0.0213
pima,hgb,crcc_m,0.712,0.0166,0.7057,0.0173,0.6657,0.0403,0.2692,0.0078,0.0617,0.0142
pima,hgb,crcc_p_l0,0.6972,0.0335,0.6992,0.0334,0.5881,0.0584,0.3178,0.0448,0.1477,0.0213
pima,hgb,crcc_p_l025,0.6972,0.0335,0.6992,0.0334,0.5881,0.0584,0.3178,0.0448,0.1477,0.0213
pima,hgb,crcc_p_l05,0.6972,0.0335,0.6992,0.0334,0.5881,0.0584,0.3178,0.0448,0.1477,0.0213
pima,hgb,crcc_p_l10,0.6972,0.0335,0.6992,0.0334,0.5881,0.0584,0.3178,0.0448,0.1477,0.0213
pima,hgb,global_top_loss,0.6693,0.0295,0.6785,0.033,0.4299,0.0562,0.3626,0.0746,0.4523,0.0543
pima,hgb,no_cleaning,0.6556,0.0437,0.6623,0.0478,0.4328,0.0783,0.0,0.0,0.0,0.0
pima,hgb,oracle_deletion,0.6995,0.0261,0.7081,0.0248,0.5254,0.0645,1.0,0.0,0.0,0.0
pima,hgb,random_deletion,0.647,0.0478,0.653,0.0511,0.4269,0.0794,0.1757,0.0551,0.2224,0.0445
pima,lr,class_proportional,0.7339,0.0199,0.7296,0.0211,0.6806,0.0226,0.3888,0.0531,0.1252,0.0205
pima,lr,crcc_m,0.7339,0.0166,0.7215,0.0151,0.7254,0.0403,0.3458,0.0413,0.0355,0.0102
pima,lr,crcc_p_l0,0.7339,0.0199,0.7296,0.0211,0.6806,0.0226,0.3888,0.0531,0.1252,0.0205
pima,lr,crcc_p_l025,0.7339,0.0199,0.7296,0.0211,0.6806,0.0226,0.3888,0.0531,0.1252,0.0205
pima,lr,crcc_p_l05,0.7339,0.0199,0.7296,0.0211,0.6806,0.0226,0.3888,0.0531,0.1252,0.0205
pima,lr,crcc_p_l10,0.7339,0.0199,0.7296,0.0211,0.6806,0.0226,0.3888,0.0531,0.1252,0.0205
pima,lr,global_top_loss,0.6572,0.0317,0.6631,0.0394,0.3672,0.0736,0.3832,0.0739,0.5458,0.072
pima,lr,no_cleaning,0.6533,0.01,0.6595,0.0126,0.3642,0.0443,0.0,0.0,0.0,0.0
pima,lr,oracle_deletion,0.7075,0.0167,0.7206,0.0192,0.5015,0.017,1.0,0.0,0.0,0.0
pima,lr,random_deletion,0.6674,0.0423,0.6752,0.0494,0.394,0.0874,0.1757,0.0551,0.2224,0.0445
sick,hgb,class_proportional,0.9257,0.0192,0.8135,0.0163,0.9069,0.0378,0.2166,0.012,0.0011,0.0016
sick,hgb,crcc_m,0.9314,0.0129,0.8005,0.0174,0.9276,0.0256,0.1473,0.0114,0.0004,0.0008
sick,hgb,crcc_p_l0,0.9257,0.0192,0.8135,0.0163,0.9069,0.0378,0.2166,0.012,0.0011,0.0016
sick,hgb,crcc_p_l025,0.9257,0.0192,0.8135,0.0163,0.9069,0.0378,0.2166,0.012,0.0011,0.0016
sick,hgb,crcc_p_l05,0.9257,0.0192,0.8135,0.0163,0.9069,0.0378,0.2166,0.012,0.0011,0.0016
sick,hgb,crcc_p_l10,0.9257,0.0192,0.8135,0.0163,0.9069,0.0378,0.2166,0.012,0.0011,0.0016
sick,hgb,global_top_loss,0.7853,0.039,0.8386,0.0293,0.5759,0.0796,0.5449,0.0242,0.1509,0.0057
sick,hgb,no_cleaning,0.8032,0.0331,0.8368,0.0256,0.6172,0.0672,0.0,0.0,0.0,0.0
sick,hgb,oracle_deletion,0.9248,0.0397,0.9488,0.0277,0.8517,0.0786,1.0,0.0,0.0,0.0
sick,hgb,random_deletion,0.7938,0.0509,0.8239,0.0355,0.6,0.1044,0.1102,0.0147,0.0428,0.0085
sick,lr,class_proportional,0.8681,0.0183,0.6965,0.0234,0.8586,0.0374,0.2148,0.0078,0.0018,0.0012
sick,lr,crcc_m,0.8685,0.0208,0.7009,0.023,0.8552,0.0415,0.1459,0.0077,0.0007,0.001
sick,lr,crcc_p_l0,0.8681,0.0183,0.6965,0.0234,0.8586,0.0374,0.2148,0.0078,0.0018,0.0012
sick,lr,crcc_p_l025,0.8681,0.0183,0.6965,0.0234,0.8586,0.0374,0.2148,0.0078,0.0018,0.0012
sick,lr,crcc_p_l05,0.8681,0.0183,0.6965,0.0234,0.8586,0.0374,0.2148,0.0078,0.0018,0.0012
sick,lr,crcc_p_l10,0.8681,0.0183,0.6965,0.0234,0.8586,0.0374,0.2148,0.0078,0.0018,0.0012
sick,lr,global_top_loss,,,,,,,,,,
sick,lr,no_cleaning,0.5024,0.0044,0.4902,0.0089,0.0069,0.0094,0.0,0.0,0.0,0.0
sick,lr,oracle_deletion,0.7317,0.0448,0.7903,0.0435,0.469,0.0883,1.0,0.0,0.0,0.0
sick,lr,random_deletion,0.506,0.0037,0.4971,0.0074,0.0138,0.0077,0.1102,0.0147,0.0428,0.0085
