deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,dataset,model,seed,method,noise_level
0,0.5402388059701493,0.4883032277169085,0.1044776119402985,0.0,0.0,pima,lr,13,no_cleaning,low
44,0.5253134328358209,0.46148867313915853,0.07462686567164178,0.045454545454545456,0.13636363636363635,pima,lr,13,random_deletion,low
44,0.5695522388059702,0.5428571428571429,0.1791044776119403,0.4090909090909091,0.5909090909090909,pima,lr,13,global_top_loss,low
44,0.6748059701492537,0.6834653305317602,0.47761194029850745,0.2727272727272727,0.045454545454545456,pima,lr,13,class_proportional,low
32,0.5775522388059702,0.550314973348409,0.1791044776119403,1.0,0.0,pima,lr,13,oracle_deletion,low
44,0.6748059701492537,0.6834653305317602,0.47761194029850745,0.2727272727272727,0.045454545454545456,pima,lr,13,crcc_p_l0,low
44,0.6748059701492537,0.6834653305317602,0.47761194029850745,0.2727272727272727,0.045454545454545456,pima,lr,13,crcc_p_l025,low
44,0.6748059701492537,0.6834653305317602,0.47761194029850745,0.2727272727272727,0.045454545454545456,pima,lr,13,crcc_p_l05,low
44,0.6748059701492537,0.6834653305317602,0.47761194029850745,0.2727272727272727,0.045454545454545456,pima,lr,13,crcc_p_l10,low
44,0.6862686567164179,0.6958784548246323,0.4925373134328358,0.18181818181818182,0.022727272727272728,pima,lr,13,crcc_m,low
0,0.6154029850746269,0.6038095238095238,0.23880597014925373,0.0,0.0,pima,lr,29,no_cleaning,low
44,0.6228656716417911,0.6147157190635452,0.2537313432835821,0.045454545454545456,0.13636363636363635,pima,lr,29,random_deletion,low
44,0.6223283582089552,0.6167076167076168,0.26865671641791045,0.29545454545454547,0.5909090909090909,pima,lr,29,global_top_loss,low
44,0.7315820895522388,0.7430865298840321,0.5671641791044776,0.18181818181818182,0.045454545454545456,pima,lr,29,class_proportional,low
24,0.6074029850746269,0.5954424847822695,0.23880597014925373,1.0,0.0,pima,lr,29,oracle_deletion,low
44,0.7315820895522388,0.7430865298840321,0.5671641791044776,0.18181818181818182,0.045454545454545456,pima,lr,29,crcc_p_l0,low
44,0.7315820895522388,0.7430865298840321,0.5671641791044776,0.18181818181818182,0.045454545454545456,pima,lr,29,crcc_p_l025,low
44,0.7315820895522388,0.7430865298840321,0.5671641791044776,0.18181818181818182,0.045454545454545456,pima,lr,29,crcc_p_l05,low
44,0.7315820895522388,0.7430865298840321,0.5671641791044776,0.18181818181818182,0.045454545454545456,pima,lr,29,crcc_p_l10,low
44,0.7235820895522388,0.7333333333333334,0.5671641791044776,0.13636363636363635,0.0,pima,lr,29,crcc_m,low
0,0.6114029850746269,0.599606531575841,0.23880597014925373,0.0,0.0,pima,lr,47,no_cleaning,low
44,0.5964776119402985,0.5773125725493335,0.208955223880597,0.06818181818181818,0.18181818181818182,pima,lr,47,random_deletion,low
44,0.5994029850746269,0.5872235872235873,0.23880597014925373,0.3409090909090909,0.5909090909090909,pima,lr,47,global_top_loss,low
44,0.7046567164179105,0.7138417631203424,0.5373134328358209,0.1590909090909091,0.06818181818181818,pima,lr,47,class_proportional,low
20,0.6188656716417911,0.6104260964570002,0.2537313432835821,1.0,0.0,pima,lr,47,oracle_deletion,low
44,0.7046567164179105,0.7138417631203424,0.5373134328358209,0.1590909090909091,0.06818181818181818,pima,lr,47,crcc_p_l0,low
44,0.7046567164179105,0.7138417631203424,0.5373134328358209,0.1590909090909091,0.06818181818181818,pima,lr,47,crcc_p_l025,low
44,0.7046567164179105,0.7138417631203424,0.5373134328358209,0.1590909090909091,0.06818181818181818,pima,lr,47,crcc_p_l05,low
44,0.7046567164179105,0.7138417631203424,0.5373134328358209,0.1590909090909091,0.06818181818181818,pima,lr,47,crcc_p_l10,low
44,0.7115820895522388,0.7189047752546491,0.5671641791044776,0.11363636363636363,0.0,pima,lr,47,crcc_m,low
0,0.6108656716417911,0.6019656019656019,0.2537313432835821,0.0,0.0,pima,lr,61,no_cleaning,low
44,0.5930149253731343,0.5697347512529031,0.19402985074626866,0.022727272727272728,0.20454545454545456,pima,lr,61,random_deletion,low
44,0.5850149253731343,0.5619421206420365,0.19402985074626866,0.45454545454545453,0.5,pima,lr,61,global_top_loss,low
44,0.7281194029850746,0.7406073082861555,0.5522388059701493,0.18181818181818182,0.06818181818181818,pima,lr,61,class_proportional,low
27,0.6148656716417911,0.6061767096249855,0.2537313432835821,1.0,0.0,pima,lr,61,oracle_deletion,low
44,0.7281194029850746,0.7406073082861555,0.5522388059701493,0.18181818181818182,0.06818181818181818,pima,lr,61,crcc_p_l0,low
44,0.7281194029850746,0.7406073082861555,0.5522388059701493,0.18181818181818182,0.06818181818181818,pima,lr,61,crcc_p_l025,low
44,0.7281194029850746,0.7406073082861555,0.5522388059701493,0.18181818181818182,0.06818181818181818,pima,lr,61,crcc_p_l05,low
44,0.7281194029850746,0.7406073082861555,0.5522388059701493,0.18181818181818182,0.06818181818181818,pima,lr,61,crcc_p_l10,low
44,0.735044776119403,0.7454545454545455,0.582089552238806,0.11363636363636363,0.045454545454545456,pima,lr,61,crcc_m,low
0,0.6447164179104478,0.6471514833289578,0.31343283582089554,0.0,0.0,pima,lr,83,no_cleaning,low
44,0.6372537313432836,0.63718820861678,0.29850746268656714,0.045454545454545456,0.18181818181818182,pima,lr,83,random_deletion,low
44,0.6407164179104478,0.642644431209053,0.31343283582089554,0.45454545454545453,0.5454545454545454,pima,lr,83,global_top_loss,low
44,0.727044776119403,0.735702665498686,0.582089552238806,0.20454545454545456,0.022727272727272728,pima,lr,83,class_proportional,low
29,0.6705671641791044,0.6805555555555556,0.373134328358209,1.0,0.0,pima,lr,83,oracle_deletion,low
44,0.727044776119403,0.735702665498686,0.582089552238806,0.20454545454545456,0.022727272727272728,pima,lr,83,crcc_p_l0,low
44,0.727044776119403,0.735702665498686,0.582089552238806,0.20454545454545456,0.022727272727272728,pima,lr,83,crcc_p_l025,low
44,0.727044776119403,0.735702665498686,0.582089552238806,0.20454545454545456,0.022727272727272728,pima,lr,83,crcc_p_l05,low
44,0.727044776119403,0.735702665498686,0.582089552238806,0.20454545454545456,0.022727272727272728,pima,lr,83,crcc_p_l10,low
44,0.723044776119403,0.7308662741799832,0.582089552238806,0.13636363636363635,0.0,pima,lr,83,crcc_m,low
0,0.5386268656716418,0.5055408147338848,0.14925373134328357,0.0,0.0,pima,hgb,13,no_cleaning,low
44,0.5277014925373135,0.48508986110555175,0.11940298507462686,0.045454545454545456,0.13636363636363635,pima,hgb,13,random_deletion,low
44,0.5402388059701493,0.4883032277169085,0.1044776119402985,0.4318181818181818,0.5227272727272727,pima,hgb,13,global_top_loss,low
44,0.6305671641791045,0.635129632143342,0.373134328358209,0.25,0.0,pima,hgb,13,class_proportional,low
32,0.5764776119402985,0.5577395577395577,0.208955223880597,1.0,0.0,pima,hgb,13,oracle_deletion,low
44,0.6305671641791045,0.635129632143342,0.373134328358209,0.25,0.0,pima,hgb,13,crcc_p_l0,low
44,0.6305671641791045,0.635129632143342,0.373134328358209,0.25,0.0,pima,hgb,13,crcc_p_l025,low
