noise_level,dataset,model,method,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,minority_recall_mean,minority_recall_std,noise_precision_deleted_mean,noise_precision_deleted_std,clean_minority_deletion_rate_mean,clean_minority_deletion_rate_std
high,credit-g,hgb,class_proportional,0.56,0.0342,0.5591,0.0391,0.264,0.0494,0.2839,0.0245,0.0548,0.027
high,credit-g,hgb,crcc_m,0.5792,0.0355,0.5823,0.0397,0.3173,0.0466,0.2097,0.0279,0.0226,0.0184
high,credit-g,hgb,crcc_p_l0,0.56,0.0342,0.5591,0.0391,0.264,0.0494,0.2839,0.0245,0.0548,0.027
high,credit-g,hgb,crcc_p_l025,0.56,0.0342,0.5591,0.0391,0.264,0.0494,0.2839,0.0245,0.0548,0.027
high,credit-g,hgb,crcc_p_l05,0.56,0.0342,0.5591,0.0391,0.264,0.0494,0.2839,0.0245,0.0548,0.027
high,credit-g,hgb,crcc_p_l10,0.56,0.0342,0.5591,0.0391,0.264,0.0494,0.2839,0.0245,0.0548,0.027
high,credit-g,hgb,global_top_loss,0.5392,0.0112,0.5103,0.0197,0.1253,0.0276,0.7258,0.0378,0.2548,0.0289
high,credit-g,hgb,no_cleaning,0.5488,0.0188,0.5314,0.0229,0.1627,0.0219,0.0,0.0,0.0,0.0
high,credit-g,hgb,oracle_deletion,0.5541,0.0216,0.5336,0.0351,0.1573,0.0502,1.0,0.0,0.0,0.0
high,credit-g,hgb,random_deletion,0.5478,0.0413,0.5299,0.0576,0.1653,0.0703,0.2355,0.0334,0.071,0.027
high,credit-g,lr,class_proportional,0.6181,0.0356,0.626,0.0405,0.3493,0.0502,0.329,0.0293,0.0548,0.027
high,credit-g,lr,crcc_m,0.6215,0.0405,0.629,0.0446,0.3653,0.069,0.2419,0.0161,0.0355,0.0177
high,credit-g,lr,crcc_p_l0,0.6181,0.0356,0.626,0.0405,0.3493,0.0502,0.329,0.0293,0.0548,0.027
high,credit-g,lr,crcc_p_l025,0.6181,0.0356,0.626,0.0405,0.3493,0.0502,0.329,0.0293,0.0548,0.027
high,credit-g,lr,crcc_p_l05,0.6181,0.0356,0.626,0.0405,0.3493,0.0502,0.329,0.0293,0.0548,0.027
high,credit-g,lr,crcc_p_l10,0.6181,0.0356,0.626,0.0405,0.3493,0.0502,0.329,0.0293,0.0548,0.027
high,credit-g,lr,global_top_loss,0.5648,0.0221,0.5494,0.0347,0.1787,0.0538,0.7903,0.0161,0.2097,0.0161
high,credit-g,lr,no_cleaning,0.5267,0.0171,0.4698,0.0358,0.0613,0.0384,0.0,0.0,0.0,0.0
high,credit-g,lr,oracle_deletion,0.5341,0.0267,0.4834,0.0518,0.0773,0.0561,1.0,0.0,0.0,0.0
high,credit-g,lr,random_deletion,0.5347,0.0282,0.483,0.0556,0.0773,0.0635,0.2355,0.0334,0.071,0.027
high,ecoli,hgb,class_proportional,0.7092,0.1062,0.6896,0.0933,0.6,0.199,0.4435,0.0567,0.0696,0.0659
high,ecoli,hgb,crcc_m,0.7053,0.0772,0.6821,0.0652,0.6105,0.1516,0.3478,0.0615,0.0348,0.0364
high,ecoli,hgb,crcc_p_l0,0.7092,0.1062,0.6896,0.0933,0.6,0.199,0.4435,0.0567,0.0696,0.0659
high,ecoli,hgb,crcc_p_l025,0.7092,0.1062,0.6896,0.0933,0.6,0.199,0.4435,0.0567,0.0696,0.0659
high,ecoli,hgb,crcc_p_l05,0.7092,0.1062,0.6896,0.0933,0.6,0.199,0.4435,0.0567,0.0696,0.0659
high,ecoli,hgb,crcc_p_l10,0.7092,0.1062,0.6896,0.0933,0.6,0.199,0.4435,0.0567,0.0696,0.0659
high,ecoli,hgb,global_top_loss,0.6006,0.0623,0.6066,0.0644,0.2842,0.1422,0.8,0.1047,0.1826,0.0836
high,ecoli,hgb,no_cleaning,0.617,0.0764,0.6229,0.0823,0.3263,0.1681,0.0,0.0,0.0,0.0
high,ecoli,hgb,oracle_deletion,0.7185,0.1223,0.7211,0.1078,0.5263,0.2551,1.0,0.0,0.0,0.0
high,ecoli,hgb,random_deletion,0.6332,0.0953,0.6379,0.1057,0.3895,0.173,0.1913,0.0902,0.087,0.0753
high,ecoli,lr,class_proportional,0.7639,0.0967,0.7495,0.0869,0.6632,0.1769,0.5652,0.0813,0.0,0.0
high,ecoli,lr,crcc_m,0.7691,0.0804,0.754,0.0701,0.6737,0.1552,0.4435,0.0836,0.0,0.0
high,ecoli,lr,crcc_p_l0,0.7639,0.0967,0.7495,0.0869,0.6632,0.1769,0.5652,0.0813,0.0,0.0
high,ecoli,lr,crcc_p_l025,0.7639,0.0967,0.7495,0.0869,0.6632,0.1769,0.5652,0.0813,0.0,0.0
high,ecoli,lr,crcc_p_l05,0.7639,0.0967,0.7495,0.0869,0.6632,0.1769,0.5652,0.0813,0.0,0.0
high,ecoli,lr,crcc_p_l10,0.7639,0.0967,0.7495,0.0869,0.6632,0.1769,0.5652,0.0813,0.0,0.0
high,ecoli,lr,global_top_loss,0.6802,0.077,0.7117,0.0899,0.3789,0.146,0.9043,0.0194,0.0957,0.0194
high,ecoli,lr,no_cleaning,0.5849,0.0737,0.5843,0.1038,0.1789,0.1422,0.0,0.0,0.0,0.0
high,ecoli,lr,oracle_deletion,0.7112,0.0923,0.7461,0.1073,0.4316,0.18,1.0,0.0,0.0,0.0
high,ecoli,lr,random_deletion,0.5917,0.1007,0.5863,0.1389,0.1895,0.199,0.1913,0.0902,0.087,0.0753
high,phoneme,hgb,class_proportional,0.7178,0.0148,0.7298,0.0163,0.5441,0.0255,0.4617,0.0253,0.0243,0.0057
high,phoneme,hgb,crcc_m,0.7201,0.0129,0.7296,0.0142,0.5598,0.022,0.3685,0.0243,0.0142,0.0039
high,phoneme,hgb,crcc_p_l0,0.7178,0.0148,0.7298,0.0163,0.5441,0.0255,0.4617,0.0253,0.0243,0.0057
high,phoneme,hgb,crcc_p_l025,0.7178,0.0148,0.7298,0.0163,0.5441,0.0255,0.4617,0.0253,0.0243,0.0057
high,phoneme,hgb,crcc_p_l05,0.7178,0.0148,0.7298,0.0163,0.5441,0.0255,0.4617,0.0253,0.0243,0.0057
high,phoneme,hgb,crcc_p_l10,0.7178,0.0148,0.7298,0.0163,0.5441,0.0255,0.4617,0.0253,0.0243,0.0057
high,phoneme,hgb,global_top_loss,0.6301,0.0179,0.6413,0.0231,0.3026,0.0335,0.8439,0.0249,0.1466,0.0257
high,phoneme,hgb,no_cleaning,0.6364,0.0123,0.6492,0.0157,0.3197,0.0284,0.0,0.0,0.0,0.0
high,phoneme,hgb,oracle_deletion,0.6834,0.0165,0.7063,0.0192,0.3994,0.0346,1.0,0.0,0.0,0.0
high,phoneme,hgb,random_deletion,0.638,0.0097,0.6511,0.0114,0.3308,0.0266,0.2326,0.0137,0.0872,0.017
high,phoneme,lr,class_proportional,0.6494,0.0144,0.6619,0.0143,0.3908,0.0452,0.4273,0.0098,0.0071,0.0054
high,phoneme,lr,crcc_m,0.6597,0.0208,0.6715,0.0203,0.4261,0.0538,0.3282,0.0062,0.0036,0.0039
high,phoneme,lr,crcc_p_l0,0.6494,0.0144,0.6619,0.0143,0.3908,0.0452,0.4273,0.0098,0.0071,0.0054
high,phoneme,lr,crcc_p_l025,0.6494,0.0144,0.6619,0.0143,0.3908,0.0452,0.4273,0.0098,0.0071,0.0054
high,phoneme,lr,crcc_p_l05,0.6494,0.0144,0.6619,0.0143,0.3908,0.0452,0.4273,0.0098,0.0071,0.0054
high,phoneme,lr,crcc_p_l10,0.6494,0.0144,0.6619,0.0143,0.3908,0.0452,0.4273,0.0098,0.0071,0.0054
high,phoneme,lr,global_top_loss,0.5382,0.0092,0.5004,0.0166,0.0973,0.0204,0.9086,0.0225,0.0914,0.0225
high,phoneme,lr,no_cleaning,0.5008,0.0017,0.4156,0.0037,0.0015,0.0034,0.0,0.0,0.0,0.0
high,phoneme,lr,oracle_deletion,0.5025,0.005,0.4193,0.0105,0.005,0.0099,1.0,0.0,0.0,0.0
high,phoneme,lr,random_deletion,0.5005,0.0011,0.4151,0.0025,0.001,0.0023,0.2326,0.0137,0.0872,0.017
high,pima,hgb,class_proportional,0.6005,0.0511,0.5993,0.0572,0.3403,0.1003,0.2727,0.0819,0.0591,0.0305
high,pima,hgb,crcc_m,0.6038,0.0669,0.6033,0.0707,0.3821,0.1337,0.2045,0.0482,0.0136,0.0203
