dataset,model,seed,overlap,oracle_only_count,oracle_only_minority_frac,crcc_only_count,budget_count,oracle_ba,crcc_ba,ba_gain_over_oracle,oracle_minority_recall,crcc_minority_recall
pima,lr,13,11,33,0.2727,33,44,0.5248,0.6519,0.1271,0.0896,0.4478
pima,lr,29,12,32,0.3438,32,44,0.5522,0.7436,0.1913,0.1045,0.5672
pima,lr,47,11,33,0.1818,33,44,0.5666,0.6559,0.0893,0.1493,0.4478
pima,lr,61,9,35,0.2857,35,44,0.5482,0.7172,0.169,0.1045,0.5224
pima,lr,83,9,35,0.2857,35,44,0.5925,0.7281,0.1356,0.209,0.5522
pima,hgb,13,8,36,0.3333,36,44,0.5466,0.6111,0.0645,0.1493,0.3582
pima,hgb,29,9,35,0.3714,35,44,0.5506,0.6196,0.069,0.1493,0.3433
pima,hgb,47,7,37,0.2162,37,44,0.5805,0.5882,0.0077,0.209,0.3284
pima,hgb,61,9,35,0.3143,35,44,0.5701,0.5962,0.0261,0.1642,0.3284
pima,hgb,83,6,38,0.3421,38,44,0.6258,0.6639,0.0381,0.2836,0.4478
credit-g,lr,13,14,48,0.2708,48,62,0.5714,0.6324,0.061,0.16,0.3733
credit-g,lr,29,16,46,0.3043,46,62,0.5571,0.5962,0.039,0.12,0.3067
credit-g,lr,47,8,54,0.4444,54,62,0.5181,0.6,0.0819,0.0533,0.28
credit-g,lr,61,15,47,0.2979,47,62,0.5781,0.6619,0.0838,0.1733,0.4267
credit-g,lr,83,14,48,0.2917,48,62,0.5781,0.6324,0.0543,0.1733,0.3733
credit-g,hgb,13,12,50,0.28,50,62,0.5695,0.6486,0.079,0.1733,0.4
credit-g,hgb,29,9,53,0.283,53,62,0.5762,0.581,0.0048,0.1867,0.2933
credit-g,hgb,47,5,57,0.4386,57,62,0.5552,0.5819,0.0267,0.1333,0.2667
credit-g,hgb,61,13,49,0.3878,49,62,0.5695,0.5962,0.0267,0.1733,0.2667
credit-g,hgb,83,13,49,0.3265,49,62,0.5381,0.5476,0.0095,0.1333,0.1867
yeast,lr,13,30,79,0.2278,79,109,0.6133,0.7599,0.1466,0.2459,0.623
yeast,lr,29,32,77,0.2078,77,109,0.6033,0.7611,0.1577,0.2131,0.5738
yeast,lr,47,29,80,0.2,80,109,0.5657,0.7185,0.1528,0.1475,0.4918
yeast,lr,61,35,74,0.1892,74,109,0.6083,0.7416,0.1333,0.2295,0.5574
yeast,lr,83,38,71,0.2394,71,109,0.6099,0.7382,0.1283,0.2295,0.541
yeast,hgb,13,25,84,0.2857,84,109,0.7298,0.7368,0.007,0.4918,0.5574
yeast,hgb,29,29,80,0.2375,80,109,0.6788,0.7088,0.03,0.377,0.4918
yeast,hgb,47,24,85,0.2471,85,109,0.6741,0.6956,0.0215,0.3934,0.459
yeast,hgb,61,26,83,0.2771,83,109,0.6233,0.6956,0.0723,0.2951,0.459
yeast,hgb,83,36,73,0.274,73,109,0.6758,0.7056,0.0298,0.3934,0.4918
ecoli,lr,13,10,13,0.0769,13,23,0.7478,0.7587,0.0109,0.5263,0.5789
ecoli,lr,29,9,11,0.0909,14,23,0.8794,0.8332,-0.0462,0.7895,0.7895
ecoli,lr,47,9,14,0.2143,14,23,0.8947,0.9057,0.0109,0.7895,0.8421
ecoli,lr,61,12,11,0.0909,11,23,0.8344,0.8255,-0.0089,0.6842,0.7895
ecoli,lr,83,7,16,0.25,16,23,0.7291,0.785,0.0559,0.4737,0.6316
ecoli,hgb,13,7,16,0.25,16,23,0.7215,0.6951,-0.0263,0.4737,0.4211
ecoli,hgb,29,8,12,0.0833,15,23,0.8113,0.8858,0.0745,0.6842,0.8947
ecoli,hgb,47,8,15,0.2,15,23,0.8004,0.7543,-0.0462,0.6316,0.6316
ecoli,hgb,61,4,19,0.4737,19,23,0.6534,0.6413,-0.0121,0.3684,0.4211
ecoli,hgb,83,6,17,0.3529,17,23,0.898,0.8749,-0.0231,0.8421,0.8421
phoneme,lr,13,90,247,0.336,247,337,0.535,0.6288,0.0938,0.0732,0.3561
phoneme,lr,29,76,261,0.3602,261,337,0.533,0.6478,0.1149,0.068,0.4005
phoneme,lr,47,80,257,0.3191,257,337,0.5214,0.6263,0.1049,0.0428,0.3501
phoneme,lr,61,92,245,0.3102,245,337,0.5377,0.661,0.1233,0.0806,0.4383
phoneme,lr,83,75,262,0.313,262,337,0.5139,0.6528,0.1389,0.0278,0.404
phoneme,hgb,13,110,227,0.2643,227,337,0.7433,0.7715,0.0282,0.5202,0.6111
phoneme,hgb,29,118,219,0.2146,219,337,0.7393,0.761,0.0217,0.5164,0.6121
phoneme,hgb,47,124,213,0.1878,213,337,0.7433,0.7761,0.0328,0.5139,0.6297
phoneme,hgb,61,110,227,0.2203,227,337,0.7275,0.7775,0.0501,0.4811,0.6222
phoneme,hgb,83,99,238,0.2185,238,337,0.7557,0.7994,0.0437,0.5303,0.6616
