deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,noise_protocol,mn_to_maj,maj_to_min,method
0,0.5426268656716418,0.5089514066496164,0.14925373134328357,,,0.0,0.0,,pima,hgb,13,hidden_minority_medium,0.3,0.1,no_cleaning
44,0.5247761194029851,0.46907993966817496,0.08955223880597014,0.5,0.45454545454545453,,,,pima,hgb,13,hidden_minority_medium,0.3,0.1,global_top_loss
44,0.6111044776119403,0.6135265700483092,0.3582089552238806,0.2727272727272727,0.022727272727272728,,,,pima,hgb,13,hidden_minority_medium,0.3,0.1,class_proportional
0,0.5940298507462687,0.5962788326749076,0.3880597014925373,,,44.0,0.0,0.11363636363636363,pima,hgb,13,hidden_minority_medium,0.3,0.1,balanced_oof_relabel
0,0.5774925373134329,0.578934362934363,0.40298507462686567,,,44.0,0.0,0.09090909090909091,pima,hgb,13,hidden_minority_medium,0.3,0.1,unbalanced_oof_relabel
0,0.620955223880597,0.6250840295784116,0.417910447761194,,,44.0,0.0,0.11363636363636363,pima,hgb,13,hidden_minority_medium,0.3,0.1,shuffled_score_relabel
0,0.562865671641791,0.5538028169014084,0.2537313432835821,,,44.0,0.0,0.045454545454545456,pima,hgb,13,hidden_minority_medium,0.3,0.1,inverted_score_relabel
0,0.558865671641791,0.5499422733792814,0.2537313432835821,,,44.0,0.0,0.045454545454545456,pima,hgb,13,hidden_minority_medium,0.3,0.1,random_relabel
0,0.5426268656716418,0.5089514066496164,0.14925373134328357,,,0.0,0.0,,pima,hgb,13,hidden_minority_medium,0.3,0.1,class_weight_only
0,0.6167164179104478,0.6163836163836164,0.31343283582089554,,,20.0,0.0,1.0,pima,hgb,13,hidden_minority_medium,0.3,0.1,oracle_relabel
0,0.5452537313432836,0.5423048035790092,0.29850746268656714,,,0.0,0.0,,pima,hgb,13,reverse_asymmetric,0.1,0.3,no_cleaning
44,0.6497313432835821,0.6529305432151721,0.5074626865671642,0.6590909090909091,0.1590909090909091,,,,pima,hgb,13,reverse_asymmetric,0.1,0.3,global_top_loss
44,0.6068059701492537,0.6075036075036075,0.47761194029850745,0.4090909090909091,0.045454545454545456,,,,pima,hgb,13,reverse_asymmetric,0.1,0.3,class_proportional
0,0.6368955223880597,0.6221322537112011,0.6417910447761194,,,44.0,0.0,0.09090909090909091,pima,hgb,13,reverse_asymmetric,0.1,0.3,balanced_oof_relabel
0,0.5726567164179104,0.5644283121597096,0.5373134328358209,,,44.0,0.0,0.09090909090909091,pima,hgb,13,reverse_asymmetric,0.1,0.3,unbalanced_oof_relabel
0,0.5422686567164179,0.536139612881221,0.4925373134328358,,,44.0,0.0,0.045454545454545456,pima,hgb,13,reverse_asymmetric,0.1,0.3,shuffled_score_relabel
0,0.5286567164179105,0.514976542764345,0.5373134328358209,,,44.0,0.0,0.022727272727272728,pima,hgb,13,reverse_asymmetric,0.1,0.3,inverted_score_relabel
0,0.6123582089552239,0.5908675799086758,0.6567164179104478,,,44.0,0.0,0.045454545454545456,pima,hgb,13,reverse_asymmetric,0.1,0.3,random_relabel
0,0.5452537313432836,0.5423048035790092,0.29850746268656714,,,0.0,0.0,,pima,hgb,13,reverse_asymmetric,0.1,0.3,class_weight_only
0,0.642268656716418,0.64562569213732,0.4925373134328358,,,9.0,0.0,1.0,pima,hgb,13,reverse_asymmetric,0.1,0.3,oracle_relabel
0,0.5674029850746268,0.5555555555555556,0.23880597014925373,,,0.0,0.0,,pima,hgb,13,symmetric,0.2,0.2,no_cleaning
44,0.6116417910447761,0.6133128520225295,0.34328358208955223,0.6818181818181818,0.2727272727272727,,,,pima,hgb,13,symmetric,0.2,0.2,global_top_loss
44,0.6334925373134328,0.6388476388476388,0.40298507462686567,0.3409090909090909,0.045454545454545456,,,,pima,hgb,13,symmetric,0.2,0.2,class_proportional
0,0.6251940298507462,0.6242884250474383,0.5223880597014925,,,44.0,0.0,0.11363636363636363,pima,hgb,13,symmetric,0.2,0.2,balanced_oof_relabel
0,0.6108059701492538,0.6118637419666294,0.47761194029850745,,,44.0,0.0,0.09090909090909091,pima,hgb,13,symmetric,0.2,0.2,unbalanced_oof_relabel
0,0.6233432835820896,0.6263783783783784,0.4626865671641791,,,44.0,0.0,0.045454545454545456,pima,hgb,13,symmetric,0.2,0.2,shuffled_score_relabel
0,0.5151044776119403,0.5151515151515151,0.3582089552238806,,,44.0,0.0,0.022727272727272728,pima,hgb,13,symmetric,0.2,0.2,inverted_score_relabel
0,0.6204179104477612,0.6242424242424243,0.43283582089552236,,,44.0,0.0,0.09090909090909091,pima,hgb,13,symmetric,0.2,0.2,random_relabel
0,0.5674029850746268,0.5555555555555556,0.23880597014925373,,,0.0,0.0,,pima,hgb,13,symmetric,0.2,0.2,class_weight_only
0,0.6438805970149254,0.6496686833765486,0.44776119402985076,,,13.0,0.0,1.0,pima,hgb,13,symmetric,0.2,0.2,oracle_relabel
0,0.5897910447761194,0.5849016480595428,0.2835820895522388,,,0.0,0.0,,pima,hgb,17,hidden_minority_medium,0.3,0.1,no_cleaning
44,0.5719402985074628,0.5568790946992257,0.22388059701492538,0.5454545454545454,0.38636363636363635,,,,pima,hgb,17,hidden_minority_medium,0.3,0.1,global_top_loss
44,0.6300298507462687,0.6348957464553795,0.3880597014925373,0.25,0.022727272727272728,,,,pima,hgb,17,hidden_minority_medium,0.3,0.1,class_proportional
0,0.7025074626865672,0.7045529976163896,0.5970149253731343,,,44.0,0.0,0.13636363636363635,pima,hgb,17,hidden_minority_medium,0.3,0.1,balanced_oof_relabel
0,0.6721194029850747,0.6743791641429436,0.5522388059701493,,,44.0,0.0,0.11363636363636363,pima,hgb,17,hidden_minority_medium,0.3,0.1,unbalanced_oof_relabel
0,0.5841791044776119,0.583653044203503,0.3283582089552239,,,44.0,0.0,0.0,pima,hgb,17,hidden_minority_medium,0.3,0.1,shuffled_score_relabel
0,0.5170149253731343,0.49971830985915494,0.19402985074626866,,,44.0,0.0,0.022727272727272728,pima,hgb,17,hidden_minority_medium,0.3,0.1,inverted_score_relabel
0,0.560179104477612,0.5593340876030386,0.3283582089552239,,,44.0,0.0,0.0,pima,hgb,17,hidden_minority_medium,0.3,0.1,random_relabel
0,0.5897910447761194,0.5849016480595428,0.2835820895522388,,,0.0,0.0,,pima,hgb,17,hidden_minority_medium,0.3,0.1,class_weight_only
0,0.628955223880597,0.6338128333602715,0.417910447761194,,,15.0,0.0,1.0,pima,hgb,17,hidden_minority_medium,0.3,0.1,oracle_relabel
0,0.631044776119403,0.62426614481409,0.582089552238806,,,0.0,0.0,,pima,hgb,17,reverse_asymmetric,0.1,0.3,no_cleaning
44,0.6268059701492538,0.6294004105517939,0.47761194029850745,0.6818181818181818,0.13636363636363635,,,,pima,hgb,17,reverse_asymmetric,0.1,0.3,global_top_loss
44,0.7222089552238806,0.7093816935599029,0.7164179104477612,0.36363636363636365,0.045454545454545456,,,,pima,hgb,17,reverse_asymmetric,0.1,0.3,class_proportional
0,0.7013731343283582,0.6549019607843137,0.8507462686567164,,,44.0,0.0,0.022727272727272728,pima,hgb,17,reverse_asymmetric,0.1,0.3,balanced_oof_relabel
0,0.7184477611940299,0.6833424958768555,0.8208955223880597,,,44.0,0.0,0.022727272727272728,pima,hgb,17,reverse_asymmetric,0.1,0.3,unbalanced_oof_relabel
0,0.5982089552238805,0.5607843137254902,0.7164179104477612,,,44.0,0.0,0.0,pima,hgb,17,reverse_asymmetric,0.1,0.3,shuffled_score_relabel
0,0.5315820895522387,0.5132275132275133,0.5671641791044776,,,44.0,0.0,0.0,pima,hgb,17,reverse_asymmetric,0.1,0.3,inverted_score_relabel
0,0.5888955223880596,0.566137566137566,0.6417910447761194,,,44.0,0.0,0.0,pima,hgb,17,reverse_asymmetric,0.1,0.3,random_relabel
