deleted,balanced_accuracy,accuracy,macro_f1,weighted_f1,minority_recall,minority_precision,majority_recall,pr_auc,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,noise_protocol,mn_to_maj,maj_to_min,budget,target_ratio,method
0,0.5557014925373134,0.6875,0.5078605604921395,0.5976802802460698,0.1194029850746268,0.8888888888888888,0.992,0.6146387830329932,,,0.0,0.0,,pima,random_forest,13,hidden_minority_low,0.1,0.05,0.1,0.15,no_cleaning
44,0.6316417910447761,0.71875,0.6349295774647887,0.6877728873239436,0.3432835820895522,0.696969696969697,0.92,0.6288753975529171,0.2045454545454545,0.0681818181818181,,,,pima,random_forest,13,hidden_minority_low,0.1,0.05,0.1,0.15,class_proportional
0,0.5253134328358209,0.6614583333333334,0.4614886731391585,0.560618932038835,0.0746268656716417,0.625,0.976,0.5775313589860355,,,0.0,0.0,,pima,random_forest,13,hidden_minority_low,0.1,0.05,0.1,0.15,cwms
0,0.5535522388059702,0.6666666666666666,0.5282555282555282,0.6054463554463554,0.1791044776119403,0.5714285714285714,0.928,0.5857423991969675,,,0.0,44.0,,pima,random_forest,13,hidden_minority_low,0.1,0.05,0.1,0.15,msbs
0,0.5351641791044777,0.65625,0.4971428571428571,0.5825892857142857,0.1343283582089552,0.5294117647058824,0.936,0.5688599581014346,,,0.0,44.0,,pima,random_forest,13,hidden_minority_low,0.1,0.05,0.1,0.15,cwms_msbs
0,0.5730149253731343,0.6875,0.5504916497580771,0.6254584829093178,0.1940298507462686,0.6842105263157895,0.952,0.6686081626915656,,,0.0,0.0,,pima,random_forest,17,hidden_minority_low,0.1,0.05,0.1,0.15,no_cleaning
44,0.6948059701492537,0.7604166666666666,0.7069674850696748,0.7447730037602299,0.4776119402985074,0.7441860465116279,0.912,0.6708201424100004,0.1590909090909091,0.0454545454545454,,,,pima,random_forest,17,hidden_minority_low,0.1,0.05,0.1,0.15,class_proportional
0,0.5690149253731343,0.6822916666666666,0.5467316846627192,0.6216124366268044,0.1940298507462686,0.65,0.944,0.6613930731614382,,,0.0,0.0,,pima,random_forest,17,hidden_minority_low,0.1,0.05,0.1,0.15,cwms
0,0.6396417910447761,0.7291666666666666,0.6437847866419295,0.6964672232529376,0.3432835820895522,0.7419354838709677,0.936,0.6820344448953887,,,0.0,44.0,,pima,random_forest,17,hidden_minority_low,0.1,0.05,0.1,0.15,msbs
0,0.6431044776119403,0.7291666666666666,0.6484507042253521,0.6993368544600939,0.3582089552238806,0.7272727272727273,0.928,0.6833419846151253,,,0.0,44.0,,pima,random_forest,17,hidden_minority_low,0.1,0.05,0.1,0.15,cwms_msbs
0,0.5591641791044776,0.6875,0.5173453996983409,0.603915284062343,0.1343283582089552,0.8181818181818182,0.984,0.6557305386693477,,,0.0,0.0,,pima,random_forest,23,hidden_minority_low,0.1,0.05,0.1,0.15,no_cleaning
44,0.6287164179104477,0.7239583333333334,0.6293571298488435,0.6859227979117343,0.3134328358208955,0.75,0.944,0.711383363060951,0.1363636363636363,0.0454545454545454,,,,pima,random_forest,23,hidden_minority_low,0.1,0.05,0.1,0.15,class_proportional
0,0.5815522388059702,0.703125,0.5540887422075541,0.6319635435765799,0.1791044776119403,0.8571428571428571,0.984,0.6636196701508779,,,0.0,0.0,,pima,random_forest,23,hidden_minority_low,0.1,0.05,0.1,0.15,cwms
0,0.6023283582089553,0.703125,0.5956102427668772,0.6585986863984038,0.2686567164179104,0.6923076923076923,0.936,0.6578101765834918,,,0.0,44.0,,pima,random_forest,23,hidden_minority_low,0.1,0.05,0.1,0.15,msbs
0,0.598865671641791,0.703125,0.589543562239808,0.6547685463001163,0.2537313432835821,0.7083333333333334,0.944,0.6649037892448523,,,0.0,44.0,,pima,random_forest,23,hidden_minority_low,0.1,0.05,0.1,0.15,cwms_msbs
0,0.6332537313432836,0.734375,0.6327495030566703,0.6911086993211567,0.2985074626865671,0.8333333333333334,0.968,0.7142688194467615,,,0.0,0.0,,pima,random_forest,29,hidden_minority_low,0.1,0.05,0.1,0.15,no_cleaning
44,0.6884179104477611,0.765625,0.7014822236810282,0.7432831340911447,0.4328358208955223,0.8055555555555556,0.944,0.7437805001512773,0.1136363636363636,0.0681818181818181,,,,pima,random_forest,29,hidden_minority_low,0.1,0.05,0.1,0.15,class_proportional
0,0.6257910447761194,0.7291666666666666,0.6226757369614513,0.68322940287226,0.2835820895522388,0.8260869565217391,0.968,0.7316379781269848,,,0.0,0.0,,pima,random_forest,29,hidden_minority_low,0.1,0.05,0.1,0.15,cwms
0,0.6660298507462686,0.75,0.6754929577464789,0.7224647887323944,0.3880597014925373,0.7878787878787878,0.944,0.7303739503784002,,,0.0,44.0,,pima,random_forest,29,hidden_minority_low,0.1,0.05,0.1,0.15,msbs
0,0.6774925373134328,0.7604166666666666,0.6890140845070423,0.7340287558685445,0.4029850746268656,0.8181818181818182,0.952,0.6996385745453697,,,0.0,44.0,,pima,random_forest,29,hidden_minority_low,0.1,0.05,0.1,0.15,cwms_msbs
0,0.5943283582089552,0.6927083333333334,0.5873975596430523,0.6503668882413647,0.2686567164179104,0.6428571428571429,0.92,0.6356117155746233,,,0.0,0.0,,pima,random_forest,31,hidden_minority_low,0.1,0.05,0.1,0.15,no_cleaning
44,0.6593432835820896,0.71875,0.6664951106536283,0.706373841996912,0.4626865671641791,0.6326530612244898,0.856,0.651023594519937,0.1136363636363636,0.1136363636363636,,,,pima,random_forest,31,hidden_minority_low,0.1,0.05,0.1,0.15,class_proportional
0,0.5874029850746268,0.6927083333333334,0.5751415819675205,0.6426551619597695,0.2388059701492537,0.6666666666666666,0.936,0.6320628383167521,,,0.0,0.0,,pima,random_forest,31,hidden_minority_low,0.1,0.05,0.1,0.15,cwms
0,0.6305671641791045,0.7083333333333334,0.635129632143342,0.6844995701551966,0.373134328358209,0.6410256410256411,0.888,0.6329168328518747,,,0.0,44.0,,pima,random_forest,31,hidden_minority_low,0.1,0.05,0.1,0.15,msbs
0,0.6271044776119403,0.7083333333333334,0.6307692307692307,0.6818910256410257,0.3582089552238806,0.6486486486486487,0.896,0.6386790359521292,,,0.0,44.0,,pima,random_forest,31,hidden_minority_low,0.1,0.05,0.1,0.15,cwms_msbs
0,0.5954029850746269,0.703125,0.5831651114073511,0.6507153399352504,0.2388059701492537,0.7272727272727273,0.952,0.6874310046840295,,,0.0,0.0,,pima,random_forest,37,hidden_minority_low,0.1,0.05,0.1,0.15,no_cleaning
44,0.6724179104477612,0.7447916666666666,0.6825803839535747,0.7250304356872138,0.4328358208955223,0.725,0.912,0.7011521964397867,0.1818181818181818,0.0681818181818181,,,,pima,random_forest,37,hidden_minority_low,0.1,0.05,0.1,0.15,class_proportional
0,0.6068656716417911,0.7135416666666666,0.5977908969720054,0.6629709420427855,0.2537313432835821,0.7727272727272727,0.96,0.6888655554125663,,,0.0,0.0,,pima,random_forest,37,hidden_minority_low,0.1,0.05,0.1,0.15,cwms
0,0.6132537313432835,0.7083333333333334,0.6111111111111112,0.6698495370370371,0.2985074626865671,0.6896551724137931,0.928,0.6823558875750642,,,0.0,44.0,,pima,random_forest,37,hidden_minority_low,0.1,0.05,0.1,0.15,msbs
