dataset,model,method,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,minority_recall_mean,minority_recall_std,noise_precision_deleted_mean,noise_precision_deleted_std,clean_minority_deletion_rate_mean,clean_minority_deletion_rate_std,deleted_mean,deleted_std
credit-g,hgb,class_proportional,0.591047619047619,0.03676609894652996,0.5921345541749856,0.04479443714389326,0.2826666666666666,0.07682592155140236,0.20322580645161287,0.042059370356146125,0.06774193548387093,0.03677985242255285,62.0,0.0
credit-g,hgb,crcc_m,0.6024761904761904,0.0441785698245884,0.6066764120544669,0.052662736127058955,0.31466666666666665,0.08088400473654984,0.15806451612903222,0.03677985242255284,0.032258064516129,0.019753949538573994,62.0,0.0
credit-g,hgb,crcc_p_l0,0.591047619047619,0.03676609894652996,0.5921345541749856,0.04479443714389326,0.2826666666666666,0.07682592155140236,0.20322580645161287,0.042059370356146125,0.06774193548387093,0.03677985242255285,62.0,0.0
credit-g,hgb,crcc_p_l025,0.591047619047619,0.03676609894652996,0.5921345541749856,0.04479443714389326,0.2826666666666666,0.07682592155140236,0.20322580645161287,0.042059370356146125,0.06774193548387093,0.03677985242255285,62.0,0.0
credit-g,hgb,crcc_p_l05,0.591047619047619,0.03676609894652996,0.5921345541749856,0.04479443714389326,0.2826666666666666,0.07682592155140236,0.20322580645161287,0.042059370356146125,0.06774193548387093,0.03677985242255285,62.0,0.0
credit-g,hgb,crcc_p_l10,0.591047619047619,0.03676609894652996,0.5921345541749856,0.04479443714389326,0.2826666666666666,0.07682592155140236,0.20322580645161287,0.042059370356146125,0.06774193548387093,0.03677985242255285,62.0,0.0
credit-g,hgb,global_top_loss,0.5205714285714286,0.01587365078095288,0.471914170041677,0.026187365122768567,0.07199999999999997,0.029211869733608873,0.4806451612903226,0.05023358549160465,0.5,0.04561979233461598,62.0,0.0
credit-g,hgb,no_cleaning,0.5441904761904761,0.017426229350830772,0.5168932968572121,0.02728014892650333,0.13066666666666665,0.031832897030168845,0.0,0.0,0.0,0.0,0.0,0.0
credit-g,hgb,oracle_deletion,0.5617142857142857,0.015258914349329801,0.5429697883292457,0.02161204986683138,0.15999999999999998,0.02494438257849293,1.0,0.0,0.0,0.0,62.0,0.0
credit-g,hgb,random_deletion,0.5466666666666666,0.019897697538834518,0.5225271763898504,0.029240207108841017,0.14133333333333328,0.03723797345005052,0.1225806451612903,0.04357824543905258,0.08387096774193543,0.031024813002695734,62.0,0.0
credit-g,lr,class_proportional,0.6245714285714286,0.02704158215661353,0.6326967811553343,0.03084993582076329,0.352,0.0585756870306368,0.2612903225806451,0.021029685178073097,0.051612903225806396,0.02885249003225532,62.0,0.0
credit-g,lr,crcc_m,0.6245714285714286,0.021773936446816942,0.6325744160901087,0.025259307161403444,0.352,0.056253394959277295,0.2064516129032258,0.03305467989019223,0.022580645161290297,0.008834234798470411,62.0,0.0
credit-g,lr,crcc_p_l0,0.6245714285714286,0.02704158215661353,0.6326967811553343,0.03084993582076329,0.352,0.0585756870306368,0.2612903225806451,0.021029685178073097,0.051612903225806396,0.02885249003225532,62.0,0.0
credit-g,lr,crcc_p_l025,0.6245714285714286,0.02704158215661353,0.6326967811553343,0.03084993582076329,0.352,0.0585756870306368,0.2612903225806451,0.021029685178073097,0.051612903225806396,0.02885249003225532,62.0,0.0
credit-g,lr,crcc_p_l05,0.6245714285714286,0.02704158215661353,0.6326967811553343,0.03084993582076329,0.352,0.0585756870306368,0.2612903225806451,0.021029685178073097,0.051612903225806396,0.02885249003225532,62.0,0.0
credit-g,lr,crcc_p_l10,0.6245714285714286,0.02704158215661353,0.6326967811553343,0.03084993582076329,0.352,0.0585756870306368,0.2612903225806451,0.021029685178073097,0.051612903225806396,0.02885249003225532,62.0,0.0
credit-g,lr,global_top_loss,0.5607619047619048,0.01716136566987979,0.5394879168689568,0.029200738664919377,0.15466666666666665,0.04279148409568324,0.5612903225806452,0.05516977863382924,0.4387096774193548,0.05516977863382927,62.0,0.0
credit-g,lr,no_cleaning,0.5291428571428571,0.01416776706410604,0.4775336588265004,0.03068339743548967,0.07199999999999998,0.038412960775701145,0.0,0.0,0.0,0.0,0.0,0.0
credit-g,lr,oracle_deletion,0.5605714285714286,0.02523899369469968,0.5330117623117807,0.04357062830484247,0.13599999999999998,0.051120772033815515,1.0,0.0,0.0,0.0,62.0,0.0
credit-g,lr,random_deletion,0.5455238095238095,0.021107649793821074,0.5085579951164085,0.0382630926363308,0.10933333333333331,0.05024384981711137,0.1225806451612903,0.04357824543905258,0.08387096774193543,0.031024813002695734,62.0,0.0
pima,hgb,class_proportional,0.6157970149253732,0.029565370216885253,0.6182942028206495,0.033077503653437354,0.3611940298507462,0.04994985233039256,0.2590909090909091,0.04712827580301754,0.03636363636363634,0.03446761565477977,44.0,0.0
pima,hgb,crcc_m,0.6246447761194031,0.037483110327357815,0.6279203121902092,0.04097260745784131,0.382089552238806,0.0720448858874458,0.17727272727272725,0.03734471982989768,0.013636363636363618,0.012448239943299215,44.0,0.0
